"","year","soc_2010_minor","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"54",2001,"11-3000",942498.090000001,941567.530000001,932313.67,9253.86,466951.84,474615.69,0.504069729337417,1040.14193548387,865,40.635838150289,42,101.159063991937,111
"55",2002,"11-3000",992321.600000001,975753.530000001,947728.62,28024.91,499507.34,476246.19,0.488080417193059,1077.15757575758,926.5,40.8756756756757,40,100.189844837148,111
"56",2003,"11-3000",2141425.45,2133401.09,2063258.12,70142.97,1265905.58,867495.51,0.406625605502058,1163.9209039548,1104,42.2030934767989,42,96.8377611825445,111
"57",2004,"11-3000",2205944.06,2201483.31,2119349.26,82134.05,1289078.75,912404.56,0.414449910138088,1159.81728395062,962,42.2840542285345,42,96.5317567681218,92
"58",2005,"11-3000",2264323.02,2254217.18,2186636.17,67581.01,1384038.18,870179.000000001,0.386022699019622,1210.1062992126,1044,42.5978535353535,43,97.509597504709,111
"59",2006,"11-3000",2363023.65,2352843.3,2294693.27,58150.03,1384350.52,968492.779999999,0.411626554135586,1164.85655737705,1000,42.7168863779033,43,98.1363241444935,111
"60",2007,"11-3000",2331391.68,2310381.28,2270825.59,39555.69,1413301.87,897079.409999998,0.388281976557566,1258.22268907563,1058,43.2729083665339,44,98.7887652249328,111
"61",2008,"11-3000",2405425.79,2385381.14,2345400.03,39981.11,1423745.93,961635.21,0.40313692175834,1309.47345132743,1154,43.141041931385,43,98.9976175715047,111
"62",2009,"11-3000",2525290.52,2515912.31,2402515.66,113396.65,1492626.85,1023285.46,0.406725407691177,1331.32967032967,1240,43.6950934579439,44,99.7013888333812,111
"63",2010,"11-3000",2691648.87,2680365.32,2497353.23,183012.09,1566882.65,1113482.67,0.415421980612702,1371.57347670251,1250,44.1541924592009,45,98.8052826172217,111
"64",2011,"11-3000",2711804.7,2694577.37,2558295.59,136281.78,1607167.6,1087409.77,0.403554851349471,1327.92176870748,1196,43.7777146105742,45,100.202495128206,111
"65",2012,"11-3000",2855206.76,2849485.44,2764658.19,84827.25,1687825.63,1161659.81,0.407673537717743,1372.92657342657,1250,44.0172031076582,45,99.7237317415457,111
"66",2013,"11-3000",2798330.76999999,2785997.82999999,2655186.06999999,130811.76,1617225.76,1168772.07,0.419516504074233,1422.78888888889,1308.5,44.0893789901335,45,101.208996286261,111
"67",2014,"11-3000",5816449.29999999,5799146.06999999,5627105.02999999,172041.04,3485418.8,2313727.27,0.398977235970882,1408.97265625,1254.5,44.7204545454545,44.5,101.614163162474,111
"68",2015,"11-3000",2811372.98,2794484.98,2712285.14,82199.84,1741012.22,1053472.76,0.376982795591909,1511.10566037736,1421,44.7624177139437,45,100.955629480606,111
"69",2016,"11-3000",3015725.43,2994953.92,2909665.65,85288.27,1784652.69,1210301.23,0.40411347297123,1561.30035335689,1442,45.0085209981741,45,102.004698469618,111
"70",2017,"11-3000",2751690.65000001,2741694.96000001,2684940.77000001,56754.19,1592725.4,1148969.56,0.419072718432542,1654.04489795918,1480.5,44.9849180327869,46,101.710936121063,111
"71",2018,"11-3000",2716835.39,2710509.28,2671000.48,39508.8,1533784.6,1176724.68,0.434134163894101,1531.22321428571,1442,44.7670033670034,45,102.780914112938,111
"72",2019,"11-3000",2608712.17,2601380.5,2570284.57,31095.93,1551481,1049899.5,0.403593207529617,1721.01310043668,1600,45.0099502487562,45,102.54784842894,111
"73",2020,"11-3000",3347634.446,3328293.2232,3230084.6037,98208.6195,2025098.8193,1303194.4039,0.391550358248496,1617.56785714286,1538,45.0885311871227,45,102.605153418744,111
"74",2021,"11-3000",3223958.6734,3209831.5033,3083723.1398,126108.3635,1899355.8659,1310475.6374,0.408269292656861,1603.44032921811,1442,45.8981915606162,46,102.567448661441,111
"75",2022,"11-3000",3072634.55,3065403.52,3042324.69,23078.83,1841631.64,1223771.88,0.39922048500812,1796.17488789238,1770.5,45.8866366366366,46,102.29854650914,111
"76",2023,"11-3000",3447678.11,3429904.27,3383431.88,46472.39,2049772.98,1380131.29,0.402381868809417,1766.36123348018,1635,45.4741620111732,46,101.866327968973,111
"77",2024,"11-3000",3460724.31,3456051.47,3360799.67,95251.8,1966409.67,1489641.8,0.431024194208543,1766.36123348018,1635,45.6121169916435,45.5,102.923409089159,111
"78",2025,"11-3000",3430837.89,3418546.32,3349533.13,69013.19,2053806.1,1364740.22,0.39921653599241,1766.36123348018,1635,45.6068313953488,46,101.747712489676,111
"79",2000,"11-3100",267337.64,267337.64,263694.9,3642.74,105516.4,161821.24,0.605306607778837,821.5,774.5,42.216,42.5,99.9147582809514,111
"80",2001,"11-3100",209456.67,207934.63,200257.79,7676.84,66729.32,141205.31,0.679085104775477,985.075,819.5,41.6047904191617,41,101.807574380468,111
"81",2002,"11-3100",231145.58,231145.58,218243.99,12901.59,82664.92,148480.66,0.642368588661743,971.309523809524,882.5,43.3954802259887,44,103.129583875236,111
"82",2003,"11-3100",262819.91,262467.98,249006.11,13461.87,92606.98,169861,0.647168466035362,1155.23529411765,1096.5,42.9663461538462,43,101.582638346971,111
"83",2004,"11-3100",296429.55,292540.97,278856.32,13684.65,96290.56,196250.41,0.670847608114514,1167.17741935484,936,43.8577981651376,45,101.966088134595,111
"84",2005,"11-3100",306637.12,304299.23,291499.8,12799.43,84782.07,219517.16,0.721385854311889,1415.19444444444,1346,44.1990740740741,45,102.085534557547,111
"85",2006,"11-3100",269649.77,269649.77,260743.14,8906.63,84613.29,185036.48,0.686210412862581,1284.93023255814,1058,42.8535353535354,44,102.384105130147,111
"86",2007,"11-3100",256003.31,256003.31,252241.91,3761.4,74715.41,181287.9,0.708146703259423,1379.4,1303,43.6120218579235,45,102.354399245854,111
"87",2008,"11-3100",288456.56,288456.56,276582.76,11873.8,101214.38,187242.18,0.649117426901298,1231.12121212121,1350.5,43.9947643979058,44,104.511878981015,111
"88",2009,"11-3100",314033.84,314033.84,305358.22,8675.62,95062.19,218971.65,0.697286795588653,1465.71428571429,1394.5,44.7703349282297,45,105.948552550897,111
"89",2010,"11-3100",303446.51,301562.7,289697.59,11865.11,86271.97,215290.73,0.71391697315351,1363.92307692308,1346,44.4807692307692,45,102.812927825623,111
"90",2011,"11-3100",302417.46,299320.07,290137.66,9182.41,102280.3,197039.77,0.65829120646671,1219.41379310345,1058,44.6296296296296,46,101.937102246435,111
"91",2012,"11-3100",237089.4,237089.4,233292.46,3796.94,83852.42,153236.98,0.646325731981269,1494.75,1278.5,44.3855421686747,46.5,105.664782061113,111
"92",2013,"11-3100",263396.03,263396.03,259250.33,4145.7,94675.54,168720.49,0.640558211906231,1244.9,1058,44.4054054054054,44.5,104.366978955605,111
"93",2014,"11-3100",599568.61,599568.61,572801.82,26766.79,180651.88,418916.73,0.698696901427178,1367.46666666667,1233.5,45.6124401913876,46,104.038991317441,111
"94",2015,"11-3100",360504.45,355437.2,351821.62,3615.58,90330.3,265106.9,0.745861434875134,1351.7037037037,1134.5,45.7692307692308,47,104.5743892592,111
"95",2016,"11-3100",353758.85,352665.45,340870.42,11795.03,95783.43,256882.02,0.728401435411379,1522.59459459459,1384.5,44.5528846153846,44,104.556473536038,111
"96",2017,"11-3100",469585.34,465472.16,453044.81,12427.35,143172.39,322299.77,0.692414708540249,1461.65517241379,1294.5,44.1434426229508,43,104.411232156183,111
"97",2018,"11-3100",409914.55,403277.94,385964.26,17313.68,87604.61,315673.33,0.782768653301492,1294.28125,1092,45.2248803827751,45,105.61805242806,111
"98",2019,"11-3100",417993.29,415321.17,388087.43,27233.74,121778.45,293542.72,0.70678487205456,1386.48484848485,1346,44.1737089201878,43,105.345043355242,111
"99",2020,"11-3100",395116.6178,390728.003,375649.4648,15078.5382,127870.147,262857.856,0.672738718448086,1503.90322580645,1413,44.7765363128492,43.5,106.876615060784,111
"100",2021,"11-3100",381247.4292,378933.3099,374303.2079,4630.102,110367.0221,268566.2878,0.708742886369304,1596.27027027027,1528.5,46.1818181818182,46.5,107.015684284133,111
"101",2022,"11-3100",327299.31,327299.31,322149.91,5149.4,111939.89,215359.42,0.657989227047255,1596.03448275862,1461.5,45.5,43,104.542863717006,111
"102",2023,"11-3100",406739.99,406739.99,401477.57,5262.42,99771.91,306968.08,0.754703465474344,1745.53333333333,1682.5,45.4126984126984,46,104.788809332468,111
