"","soc_2010_broad","n_years","n_years_explicit","min_year","max_year","year","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"141","29-1140",26,26,2000,2025,2012.5,3043647.24153077,3021887.34011923,2977874.65492308,44012.6851961538,303737.115623077,2718150.22449615,0.902266758957192,1071.77995996139,1026.67307692308,43.2970957778004,43.2692307692308,104.406621121924,111
"142","29-1150",15,15,2011,2025,2018,30625.4133333333,30625.4133333333,30168.7841133333,456.62922,14032.13412,16593.2792133333,0.549477955609812,1919.48888888889,1551.73333333333,44.4081380698964,42.2,120.871513523956,123
"143","29-1170",15,15,2011,2025,2018,210312.225386667,209747.248053333,208099.28796,1647.96009333333,19885.0265066667,189862.221546667,0.90454655600164,1703.79685297646,1688.46666666667,44.4882380133312,43.3333333333333,121.6336332504,123
"144","29-1180",23,23,2003,2025,2014,15613.6044173913,15516.3731130435,15482.517026087,33.8560869565218,3536.30404782609,11980.0690652174,0.771309028176459,1085.81280193237,935.304347826087,44.6434384456124,41.4565217391304,121.916331452887,123.5
"145","29-1190",23,23,2003,2025,2014,31803.4607043478,31481.7198347826,30994.4231043478,487.296730434783,8532.53913043478,22949.1807043478,0.716843816644515,820.434782608696,772.391304347826,47.8712352534597,46.5217391304348,115.056780323888,119.913043478261
"146","29-2010",26,26,2000,2025,2012.5,367857.743269231,363928.1715,355269.322223077,8658.84927692308,93999.9992884615,269928.172211538,0.743041784720191,904.656649084147,832.596153846154,41.957447561882,41.3269230769231,98.0063491270974,104.326923076923
"147","29-2020",26,26,2000,2025,2012.5,184209.469869231,182879.766957692,180183.231169231,2696.53578846154,6674.39246153846,176205.374496154,0.966261134916244,870.014351555836,798.519230769231,40.8917436900304,40,98.1341069656616,93.0576923076923
"148","29-2030",26,26,2000,2025,2012.5,357993.914061538,355926.162211538,351040.074288462,4886.08792307692,98343.0600692308,257583.102142308,0.725769197847594,1022.60398860373,952.826923076923,41.6051260047843,41.1730769230769,95.0958959981127,92.2692307692308
"149","29-2040",26,26,2000,2025,2012.5,289801.323192308,287637.505873077,281532.566257692,6104.93961538462,151033.196626923,136604.309246154,0.381863178879544,896.264134667119,749.173076923077,36.411029051766,33.3846153846154,88.8030208210377,84.0769230769231
"150","29-2050",23,23,2003,2025,2014,626756.429430435,621499.279547826,603541.733991304,17957.5455565217,124092.755634783,497406.523913043,0.801063393670448,658.802086786697,594.608695652174,36.6773198332392,33.1304347826087,87.1097929767091,83.6086956521739
"151","29-2060",26,26,2000,2025,2012.5,608272.816261538,603571.787946154,583449.650865385,20122.1370807692,52403.7911538462,551167.996792308,0.91572893605315,742.143505947294,691.307692307692,43.0090395783196,42.8076923076923,85.3092610666155,82.1538461538462
"152","29-2070",26,26,2000,2025,2012.5,152223.445842308,151285.300311538,146420.287965385,4865.01234615385,13600.4182307692,137684.882080769,0.910090931703755,662.850275899904,586.384615384615,43.4795550414424,44.0192307692308,87.2661118919749,84.6923076923077
"153","29-2080",26,26,2000,2025,2012.5,55887.4923730769,55099.3492961539,54272.2712038462,827.078092307692,18676.4751730769,36422.8741230769,0.669167493385651,644.019452769453,539.269230769231,42.2213545435634,41.1538461538462,87.1484212530997,82.0769230769231
"154","29-2090",23,23,2003,2025,2014,147046.334617391,146256.6297,142015.535156522,4241.09454347826,51284.7137652174,94971.9159347826,0.655941157618781,820.299000827548,716.913043478261,41.818099103077,40.5869565217391,92.1780462576236,86.695652173913
"155","29-9000",23,23,2003,2025,2014,114983.46833913,114225.942252174,111377.311804348,2848.63044782609,54675.9637565217,59549.9784956522,0.48103775145983,1160.48556841709,929.282608695652,41.9123353757415,39.804347826087,104.911432820964,111
"156","31-1010",26,26,2000,2025,2012.5,2238175.86362308,2205580.29792308,2073099.14574231,132481.152180769,249952.464088462,1955627.83383462,0.886385119862758,463.232311600263,424.134615384615,40.7799933588916,40.1153846153846,77.574229095592,75.4615384615385
"157","31-2010",23,23,2003,2025,2014,23776.5328782609,23343.1528782609,22793.4516304348,549.701247826087,2424.2576826087,20918.8951956522,0.899928171056643,724.819565217391,542.630434782609,40.7261726474794,37.8260869565217,95.4856483145638,91
"158","31-2020",23,23,2003,2025,2014,82260.6691869565,81898.7291869565,78749.5598130435,3149.16937391304,26323.243126087,55575.4860608696,0.691776816137814,645.078303218521,502.108695652174,37.1701007459909,34.7608695652174,93.7854784734724,92.3913043478261
"159","31-9010",23,23,2003,2025,2014,171827.290573913,170768.374147826,164780.876034783,5987.49811304348,30937.9729347826,139830.401213043,0.821052437009635,626.322388481084,501.413043478261,41.884513736311,41.195652173913,90.9463473599547,88.4347826086957
"160","31-9090",26,26,2000,2025,2012.5,1217158.8287,1204015.37369231,1157700.60511154,46314.7685807692,136982.819861538,1067032.55383077,0.886515731258647,547.514210375928,503.923076923077,37.5752748792666,35.2884615384615,84.8312865116819,81.2307692307692
"161","33-1010",26,26,2000,2025,2012.5,150282.364365385,149909.414038462,148014.853084615,1894.56095384615,119993.150003846,29916.2640346154,0.205321860571009,1269.65883135161,1126.44230769231,45.4572836265198,46.0384615384615,93.5302948708049,88.0576923076923
"162","33-1020",26,26,2000,2025,2012.5,49286.6697653846,48832.8759192308,48265.0602230769,567.815696153846,45754.8738461538,3078.00207307692,0.0652723130427113,1438.75757490373,1252.90384615385,46.2283169159272,46.3076923076923,91.9926641375791,88.0769230769231
"163","33-1090",26,26,2000,2025,2012.5,88644.3865423077,87941.7773115385,84772.3284692308,3169.44884230769,66699.8534038462,21241.9239076923,0.243013711082448,1014.00862486872,775.846153846154,45.2937993835807,44.6730769230769,90.6402464601705,85.0192307692308
"164","33-2010",26,26,2000,2025,2012.5,297307.708,295154.637892308,287473.049692308,7681.5882,280311.42285,14843.2150423077,0.0481578312777693,1115.16925399796,1006.90384615385,38.6796678022357,37.4615384615385,89.0796835971313,83.6923076923077
"165","33-2020",26,26,2000,2025,2012.5,19840.4730884615,19547.4269269231,19104.2134653846,443.213461538462,16986.8422230769,2560.58470384615,0.130187267511296,988.819871794872,849.576923076923,44.5057291842211,42.4807692307692,89.6515639611577,85.5384615384615
"166","33-3010",26,26,2000,2025,2012.5,420019.41925,416952.586942308,408897.6262,8054.96074230769,298712.953369231,118239.633573077,0.283299520709452,834.43262929398,738.038461538462,40.4897547851858,39.2884615384615,84.84980824889,81
