"","occ","n_years","n_years_explicit","min_year","max_year","year","n_months","n_months_explicit","min_month","max_month","month","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"815",5320,17,17,2003,2019,2011,12,12,1,12,6.5,111892.826225,110231.424486765,104998.629953922,5232.79453284314,19657.9932034314,90573.4312833333,0.821826369744757,381.294282976533,297.902083333333,42.8376658366489,40.4240196078431,91.767854259289,85.8676470588235
"816",5330,17,17,2003,2019,2011,12,12,1,12,6.5,156424.705893627,155544.753134804,146670.143210784,8874.60992401961,30991.8738558824,124552.879278922,0.80150588959512,753.751741555306,666.140147058824,40.5158636185321,38.0049019607843,87.537078970028,82.1617647058823
"817",5340,17,17,2003,2019,2011,12,12,1,12,6.5,24952.8612073529,24802.5009495098,24031.2004740196,771.300475490196,5424.92564509804,19377.5753044118,0.793288824841162,693.49043785014,618.953431372549,40.2550426996461,35.9950980392157,86.8432649992185,82.1176470588235
"818",5350,17,17,2003,2019,2011,12,12,1,12,6.5,119397.713710294,118083.989186275,109545.881505882,8538.10768039216,42741.8844029412,75342.1047833333,0.637192545823553,605.070792202073,523.495269607843,41.3147679225771,38.875,82.3889338494011,78.9019607843137
"819",5360,17,17,2003,2019,2011,12,12,1,12,6.5,69938.7221210784,69510.0748588235,65621.3763926471,3888.69846617647,10956.9482965686,58553.1265622549,0.842108967761634,756.021669729311,655.667475490196,42.1068666446825,40.7622549019608,91.3045980661282,87.4460784313726
"820",5400,17,17,2003,2019,2011,12,12,1,12,6.5,1423843.40046961,1402372.89278774,1306055.26895686,96317.6238308824,116620.090263725,1285752.80252402,0.916547672031429,485.586164613089,452.543823529412,40.4189874162087,36.8186274509804,82.8985694149953,80.921568627451
"821",5410,17,17,2003,2019,2011,12,12,1,12,6.5,137970.450834314,136730.273103431,129902.879697549,6827.39340588235,53674.7688867647,83055.5042166667,0.603100381016694,682.96558034663,581.047132352941,41.4062284739174,40.5392156862745,88.2214248569974,81.8137254901961
"822",5420,17,17,2003,2019,2011,12,12,1,12,6.5,112240.619377451,110270.434954412,105485.538620588,4784.89633382353,19575.7247715686,90694.7101828431,0.825667762983914,665.678810695878,573.187475490196,44.2292781478339,43.0220588235294,89.0567580264634,84.3578431372549
"823",5500,17,17,2003,2019,2011,12,12,1,12,6.5,22067.9628323529,21932.4300151961,20913.0723303922,1019.35768480392,13415.1264441176,8517.30357107843,0.385200078965586,766.913892507003,706.626789215686,42.7903744991872,40.3039215686275,86.8851606799209,82.1764705882353
"824",5510,17,17,2003,2019,2011,12,12,1,12,6.5,281417.334543627,277551.925187745,260658.259795588,16893.6653921569,229106.410968137,48445.5142196078,0.174079926451613,687.910289230081,570.169681372549,44.3725740876385,42.5490196078431,80.9514549720347,78.4117647058823
"825",5520,17,17,2003,2019,2011,12,12,1,12,6.5,291442.85467549,289375.122802451,277126.936439706,12248.1863627451,123543.489852451,165831.63295,0.572384459608435,718.577022941619,630.259215686275,41.6129340463194,39.6470588235294,82.0715693329298,79.4117647058823
"826",5530,17,17,2003,2019,2011,12,12,1,12,6.5,36522.3255063726,36309.2374303922,35181.982245098,1127.25518529412,31822.3814102941,4486.85602009804,0.120018752414525,717.474932831466,625.858578431373,41.964075423473,38.9632352941176,79.3937051330307,75.0049019607843
"827",5540,17,17,2003,2019,2011,12,12,1,12,6.5,144068.042001961,142689.683864706,139034.28475049,3655.39911421569,70690.2529931373,71999.4308715686,0.506215475092748,853.029037012358,815.68237745098,48.8733840964011,49.9142156862745,84.1344766133907,80.5098039215686
"828",5550,17,17,2003,2019,2011,12,12,1,12,6.5,339075.670838725,336311.328482843,331071.541116667,5239.78736617647,210250.875493627,126060.452989216,0.376087482638632,860.568162651707,860.640710784314,47.065407541495,47.4583333333333,83.1843032213123,80.0196078431373
"829",5560,17,17,2003,2019,2011,12,12,1,12,6.5,83044.1205710784,82304.0803519608,78347.1574053922,3956.92294656863,42744.8334656863,39559.2468862745,0.488285447984349,825.26507721329,737.011299019608,47.2689528225605,47.625,83.0245052706782,78.7009803921569
"830",5600,17,17,2003,2019,2011,12,12,1,12,6.5,286187.129255392,284323.430968137,271394.296448529,12929.1345196078,127867.668790686,156455.762177451,0.549506457792608,855.390844858348,746.543946078431,43.4237391136978,43,89.1683949992701,83.0343137254902
"831",5610,17,17,2003,2019,2011,12,12,1,12,6.5,605987.99317402,601146.661454902,557252.883234314,43893.7782205882,416193.162938235,184953.498516667,0.308383019655243,593.569913602067,525.138995098039,41.0519003083009,39.1813725490196,76.0858010805698,73
"832",5620,17,17,2003,2019,2011,12,12,1,12,6.5,1600785.44035294,1579039.54130049,1431441.19273529,147598.348565196,997971.331117647,581068.210182843,0.368405722737301,466.330602579113,400.916960784314,37.5368414402562,33.0024509803922,75.9890542143479,73
"833",5630,17,17,2003,2019,2011,12,12,1,12,6.5,73606.3187671569,72590.0584671569,67679.0588911765,4910.99957598039,37093.5016745098,35496.5567926471,0.488511930858049,668.752983955927,545.486568627451,43.4532094585835,41.7009803921569,78.1900270134716,75.2916666666667
"834",5700,17,17,2003,2019,2011,12,12,1,12,6.5,3253522.24305735,3221684.04825588,3081741.76275098,139942.285504902,139865.496089216,3081818.55216667,0.955524532569316,642.151011324722,593.703676470588,46.1403065423328,46.6397058823529,86.7145715965864,81.0490196078431
"835",5800,17,17,2003,2019,2011,12,12,1,12,6.5,129986.479769118,128593.104214216,121441.281407843,7151.82280637255,62190.1050019608,66402.9992122549,0.516933099342607,756.120447295774,639.296102941177,43.8885365930088,43.2303921568627,88.2143771548851,82.671568627451
"836",5810,17,17,2003,2019,2011,12,12,1,12,6.5,404106.047340686,398184.445254412,364543.721443627,33640.7238107843,84045.004895098,314139.440359314,0.784830222164315,585.221613604381,531.118823529412,41.3145496510144,39.343137254902,85.2818209538516,81.0245098039216
