"","soc_2010_minor","n_years","n_years_explicit","min_year","max_year","year","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"11","15-2000",26,26,2000,2025,2012.5,306143.842734615,304401.111603846,295771.477073077,8629.63453076923,162709.540134615,141691.571469231,0.458956456198411,1406.83528521869,1238.55769230769,41.3612542493497,40.3076923076923,109.093052314802,111
"12","17-1000",26,26,2000,2025,2012.5,270040.12785,268206.664184615,259392.364726923,8814.29945769231,202561.308576923,65645.3556076923,0.240715561630284,1321.89673943142,1190.44230769231,44.6363269716316,43.9038461538462,111.575384657631,111
"13","17-2000",26,26,2000,2025,2012.5,1121015.64213846,1114530.41976538,1087878.33445769,26652.0853076923,973340.370092308,141190.049673077,0.125773284995055,1581.49943254763,1486.80769230769,42.9793920367869,42.0384615384615,110.024822099714,111
"14","17-2100",26,26,2000,2025,2012.5,1126723.89272692,1120641.92545769,1095631.36466538,25010.5607923077,974286.426815385,146355.498642308,0.127802761075248,1527.21252962929,1418.38461538462,43.0083695452505,42.5769230769231,108.004814579181,111
"15","17-3000",26,26,2000,2025,2012.5,731134.620669231,724653.646996154,693425.787676923,31227.8593192308,588291.050330769,136362.596665385,0.185918883724398,1025.0396379731,956,42.152700833339,42.2307692307692,87.7396548131746,83.1153846153846
"16","19-1000",26,26,2000,2025,2012.5,330160.395376923,328583.451619231,319717.414903846,8866.03671538461,177705.013084615,150878.438534615,0.459090065573417,1222.28065260852,1027.92307692308,41.7825212930812,39.3461538461538,116.645652261473,121.615384615385
"17","19-2000",26,26,2000,2025,2012.5,470153.785830769,467411.643969231,456813.091234615,10598.5527346154,298329.431088462,169082.212880769,0.348489118368113,1482.09422975141,1346.01923076923,42.412369042219,40.2307692307692,117.063839055011,121.153846153846
"18","19-3000",26,26,2000,2025,2012.5,334436.369476923,332726.156015385,328118.811923077,4607.34409230769,123621.372769231,209104.783246154,0.626051087213313,1346.08006525605,1122.92307692308,45.092735474209,45.5769230769231,119.884702327695,123
"19","19-4000",26,26,2000,2025,2012.5,356382.701215385,352020.160180769,335735.700684615,16284.4594961538,189743.705934615,162276.454246154,0.456196266499988,906.228228096731,798.442307692308,38.8811462608523,36.3653846153846,93.7651935798348,92.4230769230769
"20","21-1000",26,26,2000,2025,2012.5,1982545.89725769,1966350.49253462,1906721.08341923,59629.4091153846,486573.267076923,1479777.22545769,0.749482678783551,888.517862347102,799.153846153846,42.5481902411229,41.6153846153846,107.324337552744,111
"21","21-2000",26,26,2000,2025,2012.5,593026.088926923,588202.219176923,582550.645215385,5651.57396153846,413905.275446154,174296.943730769,0.297705739308906,879.639537880486,767.730769230769,48.5613316842593,50.0576923076923,107.877354178452,112.384615384615
"22","23-1000",26,26,2000,2025,2012.5,1191281.06675769,1185253.56859231,1168040.9634,17212.6051923077,772056.773392308,413196.7952,0.347082359025776,1825.8470024457,1734.48076923077,46.155436792959,45.8653846153846,122.836867555928,124
"23","23-2000",26,26,2000,2025,2012.5,641429.593638462,635869.346357692,611892.763307692,23976.58305,106734.790611538,529134.555746154,0.831428389702069,937.174664604836,850.192307692308,42.2933582498163,42.5384615384615,95.2375548979588,94.6153846153846
"24","25-1000",26,26,2000,2025,2012.5,1351876.74459615,1340495.01949231,1312390.70071538,28104.3187769231,709720.524346154,630774.495146154,0.469795816795468,1150.20118617172,1046.53846153846,45.0345491486426,44.7884615384615,118.755635266299,123.192307692308
"25","25-2000",26,26,2000,2025,2012.5,5656818.24618077,5600815.02975769,5499818.95365,100996.076107692,1213112.51408846,4387702.51566923,0.783524744909952,935.17552416926,880.307692307692,42.7633243111195,42.1923076923077,112.344079599711,111
"26","25-3000",26,26,2000,2025,2012.5,964336.487865385,949437.702003846,915671.751515385,33765.9504884615,344191.210596154,605246.491407692,0.640705243585936,717.664075221482,556.730769230769,41.6413146550551,40.4230769230769,99.843678362799,109.538461538462
"27","25-4000",26,26,2000,2025,2012.5,301857.727496154,298557.663761538,292787.165369231,5770.49839230769,60308.2106384615,238249.453123077,0.79560803303847,846.86597839717,737.076923076923,46.0991140044836,47.0576923076923,108.850181778772,115.153846153846
"28","25-9000",26,26,2000,2025,2012.5,1317883.38140385,1303615.38938462,1265371.04396154,38244.3454230769,184849.084930769,1118766.30445385,0.866880258879095,536.027707515872,442.519230769231,41.9979574741733,42.5384615384615,90.7802131780509,85.8846153846154
"29","27-1000",26,26,2000,2025,2012.5,1177901.99228846,1167645.84351538,1112590.98715,55054.8563653846,538544.426326923,629101.417188461,0.53883053721323,974.871876257005,861.653846153846,42.4739480581544,40.5192307692308,98.373432165724,106.615384615385
"30","27-2000",26,26,2000,2025,2012.5,776868.875880769,761005.819411539,704296.903234615,56708.9161769231,480942.810434615,280063.008976923,0.367968667879955,880.835107492438,693.673076923077,39.9508902544119,36.7307692307692,97.9224013372756,107.346153846154
"31","27-3000",26,26,2000,2025,2012.5,874506.569907692,867170.1973,825763.937819231,41406.2594807692,376175.406684615,490994.790615385,0.567362278297569,1112.55612114637,935.788461538462,43.1176504881929,41.8076923076923,106.057099551595,111
"32","27-4000",26,26,2000,2025,2012.5,376126.473226923,372782.440273077,348681.770665385,24100.6696076923,257551.335523077,115231.10475,0.30316417856434,905.85771492595,719.480769230769,39.8432647663796,37.25,95.1227866649973,97.1730769230769
"33","29-1000",26,26,2000,2025,2012.5,1769524.96087308,1761896.02735385,1747002.41117692,14893.6161769231,987724.357407692,774171.669946154,0.432450788692166,1720.86868304439,1623.82692307692,45.1391168435387,44.3076923076923,120.347676170804,124
"34","29-1100",26,26,2000,2025,2012.5,4153685.98468846,4126228.23790769,4068108.79932693,58119.4385807692,544976.769246154,3581251.46866154,0.870276084148208,1091.09994451537,1042.53846153846,43.0210480773664,42.7307692307692,107.040063137388,111
"35","29-2000",26,26,2000,2025,2012.5,2700764.03460385,2679496.73304615,2611698.83437308,67797.8986730769,589872.94055,2089623.79249615,0.783096540142718,803.58108814292,716.326923076923,40.5552268663134,39.4615384615385,90.422326101494,88.6923076923077
"36","29-9000",23,23,2003,2025,2014,114983.46833913,114225.942252174,111377.311804348,2848.63044782609,54675.9637565217,59549.9784956522,0.48103775145983,1160.48556841709,929.282608695652,41.9123353757415,39.804347826087,104.911432820964,111
"37","31-1000",26,26,2000,2025,2012.5,2238175.86362308,2205580.29792308,2073099.14574231,132481.152180769,249952.464088462,1955627.83383462,0.886385119862758,463.232311600263,424.134615384615,40.7799933588916,40.1153846153846,77.574229095592,75.4615384615385
"38","31-2000",23,23,2003,2025,2014,106037.202065217,105241.882065217,101543.011443478,3698.87062173913,28747.5008086957,76494.3812565217,0.739580606662071,664.084249265228,549.04347826087,37.8077150665328,36.0217391304348,94.2383180552542,92.0217391304348
"39","31-9000",26,26,2000,2025,2012.5,1369159.89343846,1355079.70466923,1303468.30314231,51611.4015269231,164351.026688462,1190728.67798077,0.879580475347525,550.372327086029,504.576923076923,37.9881769642592,35.9038461538462,85.378970645324,81.6153846153846
"40","33-1000",26,26,2000,2025,2012.5,288213.420673077,286684.067269231,281052.241776923,5631.82549230769,232447.877253846,54236.1900153846,0.191917898621661,1217.63799515968,1081,45.5041577904332,46.1346153846154,92.3488176420831,87.2307692307692
"41","33-2000",26,26,2000,2025,2012.5,317148.181088462,314702.064819231,306577.263157692,8124.80166153846,297298.265073077,17403.7997461538,0.053676227371135,1100.55281514873,987.826923076923,39.088721048395,37.6346153846154,89.0810799636207,84.0769230769231
"42","33-3000",26,26,2000,2025,2012.5,1279938.02853462,1272866.8334,1254579.71246154,18287.1209384615,1016763.27028077,256103.563119231,0.201408794061286,1057.8464417094,916.826923076923,40.3430632727914,38.9615384615385,91.5254583294184,85.8846153846154
"43","33-9000",26,26,2000,2025,2012.5,1321913.85276538,1294839.62992308,1193631.27501923,101208.354903846,928561.9935,366277.636423077,0.283567296930035,601.73683242613,483.423076923077,41.7635392831025,39.8461538461538,82.6710975917425,79.4615384615385
"44","35-1000",26,26,2000,2025,2012.5,996017.909257692,987966.750338461,935463.729884615,52503.0204538461,562283.006457692,425683.743880769,0.445981099718331,613.184634324925,506.519230769231,38.1386791978329,35.6153846153846,79.3458424519611,77
"45","35-2000",26,26,2000,2025,2012.5,3068616.61350385,3028053.71723077,2752691.45539615,275362.261834615,1656211.39124615,1371842.32598462,0.454329247584947,392.345565456267,351.019230769231,36.4112994166299,33.0769230769231,69.0830849778823,73
"46","35-3000",26,26,2000,2025,2012.5,3256891.37916154,3187219.98777692,2912963.48972308,274256.498053846,1033925.64166923,2153294.34610769,0.677514001664389,388.362123791704,331.076923076923,31.8553632396072,26.3076923076923,78.2331623698526,77.3076923076923
"47","35-9000",26,26,2000,2025,2012.5,971621.584873077,948383.043626923,852609.063665385,95773.9799615385,476461.121246154,471921.922380769,0.494026793261339,309.016461517491,262.288461538462,33.8045980657646,27.25,69.4856434670418,73
"48","37-1000",26,26,2000,2025,2012.5,551777.120326923,547293.770657692,522953.541061538,24340.2295961538,403429.772553846,143863.998103846,0.261393967780616,761.583636581384,693.653846153846,44.8998892588127,45.5192307692308,78.1721765052416,73.4615384615385
"49","37-2000",26,26,2000,2025,2012.5,4203514.87591538,4137007.49373846,3817948.029,319059.464738461,1876874.46371154,2260133.03002692,0.546369415100465,450.835520462293,401.769230769231,44.2170146574506,44.6346153846154,67.5627245380842,73
"50","37-3000",26,26,2000,2025,2012.5,1298323.44511923,1272839.18891923,1088005.6049,184833.584019231,1195564.23618462,77274.9527346154,0.0618560436201323,532.808633513357,463.615384615385,39.4445141859522,37.6153846153846,63.8242561052116,73
"51","39-1000",26,26,2000,2025,2012.5,305842.675984615,302774.506826923,294502.813053846,8271.69377307692,113476.472215385,189298.034611538,0.632572457008914,750.735450740854,604.461538461538,43.1088134540665,42.0769230769231,85.9795397900144,80.4615384615385
"52","39-2000",26,26,2000,2025,2012.5,269744.919353846,265934.826007692,249546.681719231,16388.1442884615,76721.34685,189213.479157692,0.704963563238235,470.210396309123,366.846153846154,37.5797680057182,35.3846153846154,81.5186113306687,79
"53","39-3000",26,26,2000,2025,2012.5,344857.058684615,334423.862876923,298477.641692308,35946.2211846154,187596.161484615,146827.701392308,0.439361341447277,449.758468854051,320.961538461538,37.151715260636,31.5961538461538,82.1417143725132,79.1538461538462
"54","39-4000",26,26,2000,2025,2012.5,59356.7963961538,58864.1845461538,56918.6526230769,1945.53192307692,39795.0088269231,19069.1757192308,0.316535207126514,854.748484848485,729.903846153846,48.5545006408474,49.2884615384615,93.2984264995632,91.5384615384615
"55","39-5000",26,26,2000,2025,2012.5,1222710.65447692,1213812.08531923,1173552.75415385,40259.3311653846,196997.956011538,1016814.12930769,0.837848421827809,499.855907385756,420.038461538462,40.5499119344214,39.25,79.2311509834536,76.0769230769231
"56","39-6000",26,26,2000,2025,2012.5,82011.3794769231,81345.4246,76958.4563346154,4386.96826538461,64359.0120769231,16986.4125230769,0.203636042906081,602.765774503275,501.846153846154,41.2883292831908,37.3269230769231,81.0353718173003,76.7307692307692
"57","39-7000",26,26,2000,2025,2012.5,54214.1175653846,52263.6224961538,47213.4402846154,5050.18221153846,27148.8702192308,25114.7522769231,0.471121716575232,282.975091575092,189.826923076923,41.6006604262442,36.5769230769231,88.8057929137874,83.1346153846154
"58","39-9000",26,26,2000,2025,2012.5,3112993.37585,3047355.78617692,2856049.61337308,191306.172803846,459705.019603846,2587650.76657308,0.853418481359884,396.282306292397,345.730769230769,40.6179033093102,39.3846153846154,80.3560327199345,77.9230769230769
"59","41-1000",26,26,2000,2025,2012.5,4844917.4916,4814243.58586154,4671859.27518462,142384.310676923,2874446.00967692,1939797.57618462,0.40374987817284,935.343600171047,757.461538461538,43.1991378619608,43.1153846153846,88.0045419884659,81
"60","41-2000",26,26,2000,2025,2012.5,6883583.52923847,6740264.81458077,6145774.09601923,594490.718561538,2664129.45368462,4076135.36089615,0.604185916043402,481.242925573207,349.019230769231,36.1300853296582,31.4038461538462,80.3023270247344,77.6153846153846
"61","41-3000",26,26,2000,2025,2012.5,1887386.66281154,1872268.41111154,1791770.29531538,80498.1157961538,1084363.88905769,787904.522053846,0.420450273704596,1144.85494453814,943.653846153846,42.5831708040663,41.8461538461538,97.0831560579865,104.423076923077
"62","41-4000",26,26,2000,2025,2012.5,1388904.15849615,1381432.89141154,1335058.32133846,46374.5700730769,994561.083219231,386871.808192308,0.280710715458261,1192.1577917927,1008.48076923077,43.5674999693705,43.6730769230769,94.93910827946,98.4615384615385
"63","41-9000",26,26,2000,2025,2012.5,1773967.20922692,1751685.48329615,1662889.72646154,88795.7568346154,769695.008569231,981990.474726923,0.562166935044204,917.952273591196,726.942307692308,45.2160784571842,45.6538461538462,92.7072216510068,90.4615384615385
"64","43-1000",26,26,2000,2025,2012.5,1446657.54120769,1436796.00213846,1392339.82104231,44456.1810961538,439590.933088461,997205.06905,0.688187203033804,901.671685703484,792.961538461538,44.0636337419964,44.7884615384615,89.8437330556039,83.3653846153846
"65","43-2000",26,26,2000,2025,2012.5,92253.9701192308,91074.9797346154,83476.9721423077,7598.00759230769,17889.5992,73185.3805346154,0.791943262243676,618.636239234323,482.192307692308,41.7016282812909,38.8653846153846,83.4192244122679,79.4230769230769
"66","43-3000",26,26,2000,2025,2012.5,2778730.13108462,2750343.06905769,2638572.9746,111770.094457692,375196.452680769,2375146.61637692,0.861852542405285,635.372052247768,583.403846153846,43.1684199165466,43.5,85.7093677192957,81
"67","43-4000",26,26,2000,2025,2012.5,2998317.09131538,2954307.68547692,2769450.85472308,184856.830753846,908615.773453846,2045691.91202308,0.697193512092895,642.505094138359,561.173076923077,38.3321135145355,36.1346153846154,85.7331097427669,81
"68","43-4100",26,26,2000,2025,2012.5,2426306.64970769,2390241.31191923,2238415.81664615,151825.495273077,363565.922542308,2026675.38937692,0.846395594329179,575.036112874325,527.115384615385,39.6680352060194,37.8461538461538,85.1260900811931,81
"69","43-5000",26,26,2000,2025,2012.5,3992809.86973846,3939845.82269615,3663508.74811923,276337.074576923,2455605.72305,1484240.09964615,0.376882192601753,648.117715221655,551.846153846154,39.9152891613629,38.9423076923077,79.4233505001312,74.2307692307692
"70","43-5100",26,26,2000,2025,2012.5,74780.6115615385,73587.8424769231,68190.74715,5397.09532692308,37633.4066884615,35954.4357884615,0.498004033588786,722.290873015873,574.634615384615,41.7071990432247,40.2692307692308,79.8009467526684,75.3076923076923
"71","43-6000",26,26,2000,2025,2012.5,3123352.15968077,3088664.21843462,2970094.75343846,118569.464996154,141679.543176923,2946984.67525769,0.953003941262068,674.189705569667,626,44.7261371577637,46.5384615384615,87.1017332595423,81.7692307692308
"72","43-9000",26,26,2000,2025,2012.5,2432758.20540769,2396837.00761538,2259900.80275,136936.204865385,491167.427276923,1905669.58033846,0.794236504947934,614.581159876247,573.557692307692,41.4387526019802,41.1346153846154,85.7417393813705,81
"73","43-9100",26,26,2000,2025,2012.5,697125.470942308,690966.413311539,668856.440742308,22109.9725692308,172357.733703846,518608.679607692,0.749471432425945,746.264776998255,675.865384615385,41.9542194158208,41.4423076923077,92.0584899220319,88.2307692307692
"74","45-1000",26,26,2000,2025,2012.5,55246.4555153846,54686.7897461538,51274.7413192308,3412.04842692308,46622.0257423077,8064.76400384615,0.139834149947441,789.502991452992,686.519230769231,46.0775290259426,46.2884615384615,69.9751819320225,73.6153846153846
"75","45-2000",26,26,2000,2025,2012.5,965045.206165385,942691.94625,794617.448753846,148074.497496154,683880.748934615,258811.197315385,0.272148447139212,505.754595125115,426.634615384615,39.7459558241706,38.0769230769231,56.976527592527,68.5769230769231
"76","45-3000",26,26,2000,2025,2012.5,43338.6340653846,41243.4412269231,35355.0997807692,5888.34144615385,38604.7367307692,2638.70449615385,0.0621488052830893,730.999358974359,657.057692307692,44.704186333149,44.9230769230769,73.1966577890388,72.9230769230769
"77","45-4000",26,26,2000,2025,2012.5,98991.2727423077,96199.8628730769,85227.3278269231,10972.5350461538,90195.4982576923,6004.36461538462,0.0605176369414171,604.200505113288,511.192307692308,42.0938034116694,41,68.1216545860231,72.3076923076923
"78","47-1000",26,26,2000,2025,2012.5,825036.3101,820954.143480769,775098.119392308,45856.0240884615,794602.060953846,26352.0825269231,0.0328006267426902,1091.58396141878,931.365384615385,44.0281180091964,44.4423076923077,77.0342840320873,73
"79","47-2000",26,26,2000,2025,2012.5,4756339.07511923,4698515.6096,4075966.72914231,622548.880457692,4571970.54891923,126545.060680769,0.0269058945402133,774.475266981389,651.019230769231,39.5946284731231,38.3846153846154,67.5739590112429,73
