"","occ2010","n_years","n_years_explicit","min_year","max_year","year","n_months","n_months_explicit","min_month","max_month","month","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"332",6440,20,20,2000,2019,2009.5,12,12,1,12,6.5,641713.53806875,637171.956305,588921.068905833,48250.8873991667,626882.230470417,10289.7258345833,0.0160220265166512,895.026068264637,776.012666666667,41.4317092226134,40.21875,74.2250148485983,73
"333",6460,20,20,2000,2019,2009.5,12,12,1,12,6.5,46492.6089116667,46143.0659208333,41037.0712025,5105.99471833333,45561.1544558333,581.911465,0.0172902735939369,636.814808422365,566.5094375,38.2816285789656,35.6583333333333,57.9231222444887,61.65
"334",6515,20,20,2000,2019,2009.5,12,12,1,12,6.5,265814.636429583,262793.369565833,226243.71201625,36549.6575495833,258899.8325475,3893.53701833333,0.0149522335141763,629.187049882116,518.6781875,36.6024832137451,34.1125,61.2839020733383,72.2395833333333
"335",6520,20,20,2000,2019,2009.5,12,12,1,12,6.5,148584.439522917,147528.194383333,135093.048274167,12435.1461091667,141905.99786,5622.19652333333,0.0384453074454227,854.135489340361,727.7365,41.1599783436877,40,74.8116331222598,73.3166666666667
"336",6530,20,20,2000,2019,2009.5,12,12,1,12,6.5,74714.3054133333,74019.98961,64409.9191054167,9610.07050458333,72794.62348375,1225.36612625,0.0164567512401706,911.650663752543,780.287708333333,39.7780933421959,38.1145833333333,74.3643010082417,73.25
"337",6600,20,20,2000,2019,2009.5,12,12,1,12,6.5,101182.840244167,99695.1995541667,82814.90138875,16880.2981654167,94723.8341775,4971.36537666667,0.049296482144072,550.405713311753,439.292166666667,32.5652609707453,28.3145833333333,66.3407777471739,72.7166666666667
"338",6660,20,20,2000,2019,2009.5,12,12,1,12,6.5,98639.5959170833,97797.67858875,93968.2306708333,3829.44791791667,88616.92496875,9180.75362,0.0914613533978873,927.063894410583,832.831854166667,48.5091829187143,48.56875,87.7306347457624,82.9395833333333
"339",6700,20,20,2000,2019,2009.5,12,12,1,12,6.5,31416.03225125,31324.3148716667,30253.5412629167,1070.77360875,30696.87067875,627.444192916667,0.0209341507604051,1208.61045540675,1040.76364583333,43.4538369803028,41.0125,80.5739428693723,76.1041666666667
"340",6710,17,17,2003,2019,2011,12,12,1,12,6.5,42221.4378588235,41857.9542563725,36392.7038416667,5465.25041470588,41239.2905338235,618.66372254902,0.015058643085009,614.030278127918,518.157475490196,37.2833429327143,33.8333333333333,64.7274041700172,68.7549019607843
"341",6720,17,17,2003,2019,2011,12,12,1,12,6.5,36210.8664362745,35921.8541607843,31577.6609372549,4344.19322352941,30903.9369759804,5017.91718480392,0.136143133432851,856.548882002801,712.662181372549,40.9178463494684,38.1323529411765,76.6935989647237,74.9607843137255
