"","soc_2010","n_years","n_years_explicit","min_year","max_year","year","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"43","13-1199",26,26,2000,2025,2012.5,348938.961423077,346307.676534615,333942.335207692,12365.3413269231,109037.341192308,237270.335342308,0.678137069865818,1096.93405234211,929.75,42.7376764492649,42.8846153846154,98.0292969265304,102.25
"44","13-2011",26,26,2000,2025,2012.5,1881265.23758077,1870244.93449615,1819347.83494231,50897.0995538462,735096.024211538,1135148.91028462,0.605131102926868,1179.96583331055,1066.67307692308,43.1963376340242,42.4807692307692,107.476187072968,111
"45","13-2021",23,23,2003,2025,2014,100769.773317391,100155.625491304,97654.0329391304,2501.59255217391,66867.7531565217,33287.8723347826,0.338391259799579,1079.379256251,790.652173913043,47.9536673991012,48.3478260869565,97.4844148453412,101.521739130435
"46","13-2031",23,23,2003,2025,2014,55898.7650173913,55841.8245826087,54566.3080608696,1275.51652173913,23983.9803956522,31857.8441869565,0.567043002761913,1507.07315715685,1379.5,44.4153901890938,44.2173913043478,108.237006821585,111.521739130435
"47","13-2041",23,23,2003,2025,2014,31059.4529869565,30900.4529869565,30171.5382,728.914786956522,14101.5868,16798.8661869565,0.551168324659997,901.478467908903,804.282608695652,38.2462650942825,35.1521739130435,102.488286192796,105.652173913043
"48","13-2051",23,23,2003,2025,2014,229796.791634783,227814.324943478,224601.615013043,3212.70993043478,140115.729230435,87698.5957130435,0.371455780261229,1572.60712225552,1371.17391304348,40.9214933928773,38.3913043478261,110.670857056916,111.521739130435
"49","13-2052",23,23,2003,2025,2014,473044.502043478,469746.245165217,459721.051834783,10025.1933304348,312081.874417391,157664.370747826,0.331329795802738,1530.01527708454,1340.34782608696,44.2165879673507,43.3260869565217,107.577553161635,111
"50","13-2053",26,26,2000,2025,2012.5,112086.14845,111693.303834615,110108.799711538,1584.50412307692,40716.5132076923,70976.7906269231,0.646349568837828,1219.04831863629,1039.17307692308,42.4838014791112,41.7115384615385,99.1479885680706,106.730769230769
"51","13-2061",23,23,2003,2025,2014,13537.7509695652,13206.5418391304,13035.6440130435,170.897826086957,5635.36631304348,7571.17552608696,0.563342038995182,1509.47826086957,1535.60869565217,44.483628931455,42.2391304347826,108.409613086721,108.630434782609
"52","13-2070",26,26,2000,2025,2012.5,463715.424480769,460316.308511538,444336.447876923,15979.8606346154,210313.186711538,250003.1218,0.548753019063831,1173.11588861692,1006.73076923077,41.9174321283685,41.1538461538462,97.6256627348734,105
"53","13-2081",23,23,2003,2025,2014,75326.2119130435,74709.8042695652,73828.7781826087,881.026086956522,30361.2191434783,44348.585126087,0.589608341502332,1149.40612624091,820.760869565217,45.9291255001081,47.1739130434783,97.358783607966,100.739130434783
