"","occ","n_years","n_years_explicit","min_year","max_year","year","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"724",2865,6,6,2020,2025,2022.5,26938.1928,26938.1928,26720.2728,217.92,15766.6844333333,11171.5083666667,0.402096138148518,860.25,841.5,39.6851851851852,31.4166666666667,102.908195976438,101
"725",2900,17,17,2003,2019,2011,113578.082941176,113082.552352941,106804.602941176,6277.9494117647,98462.8776470588,14619.6747058824,0.125618037679779,1009.38010037348,934.970588235294,39.4857503652681,37.5,91.3714770017905,86.5
"726",2905,6,6,2020,2025,2022.5,104779.752,104779.752,99550.1150333333,5229.63696666667,92497.9418,12281.8102,0.112658756651436,1062.68888888889,583.75,41.8529891304348,40.9166666666667,95.7202799999328,96.3333333333333
"727",2910,23,23,2003,2025,2014,202539.657052174,199978.264730435,185899.428195652,14078.8365347826,105978.962682609,93999.3020478261,0.461909805058361,747.375120772947,549.478260869565,40.5067389361298,37.3260869565217,95.167325540264,94.6086956521739
"728",2920,23,23,2003,2025,2014,84213.2114391304,83749.9199869565,77440.5335652174,6309.38642173913,69707.0211956522,14042.8987913043,0.141665434434691,1205.89855072464,1091.65217391304,38.6032347649887,35.7608695652174,98.0871421675088,103.717391304348
"729",2960,3,3,2003,2012,2008.33333333333,1911.38333333333,1911.38333333333,1011.44666666667,899.936666666667,1911.38333333333,0,0,NA,NA,35.6666666666667,35.6666666666667,94.6666666666667,94.6666666666667
"730",3000,23,23,2003,2025,2014,64097.0336,64097.0336,63764.925773913,332.107826086957,46748.8405130435,17348.1930869565,0.272114891679523,1265.60579710145,1220.39130434783,45.6928865687391,45.1304347826087,122.363090041742,124.586956521739
"731",3010,23,23,2003,2025,2014,185233.558169565,184810.123386957,183047.895604348,1762.2277826087,132865.842221739,51944.2811652174,0.284057758691207,1742.7674728653,1607.45652173913,48.0616610270444,48.7391304347826,123.598873023843,124.130434782609
"732",3030,23,23,2003,2025,2014,115229.483343478,114704.951669565,111146.532065217,3558.41960434783,11154.8958695652,103550.0558,0.903520979296265,849.21229989817,821.869565217391,43.9101892894537,42.6739130434783,103.459783764698,111.521739130435
"733",3040,23,23,2003,2025,2014,44292.5178478261,43723.8746086957,43713.4459130435,10.4286956521739,24830.0843695652,18893.7902391304,0.429976893539547,1405.82028985507,1332.41304347826,45.255736792026,45.6521739130435,121.875594377817,124.5
"734",3050,23,23,2003,2025,2014,311973.381004348,310587.986330435,306256.038291304,4331.94803913044,135893.337952174,174694.648378261,0.55534005444,1707.28924440811,1803.54347826087,42.6881404712951,40.4347826086956,117.296190114903,120.326086956522
"735",3060,17,17,2003,2019,2011,980474.88882353,976306.088235294,971383.751176471,4922.33705882353,626843.604705882,349462.483529412,0.353046463325492,1883.56061757586,1769.11764705882,46.1139140758797,45.4705882352941,122.936401658913,124
"736",3090,6,6,2020,2025,2022.5,926681.74615,922883.31265,919488.755816666,3394.55683333333,529694.433016667,393188.879633333,0.42581177803978,2229.84453206445,2653.91666666667,46.9862238198671,44.5,124.491287432996,124.5
"737",3100,6,6,2020,2025,2022.5,46263.31205,46263.31205,46263.31205,0,33259.0706,13004.24145,0.27618346908662,2670.38888888889,2465.66666666667,46.9256626414521,43.3333333333333,123.677335794368,124.25
"738",3110,23,23,2003,2025,2014,117171.804143478,116648.273708696,115460.869152174,1187.40455652174,34848.9904565217,81799.2832521739,0.692959486553075,1465.3303002553,1259.4347826087,39.8148547679265,36.8695652173913,113.268987538752,116.739130434783
"739",3120,16,16,2003,2025,2013.125,9641.0535625,9641.0535625,9342.1473125,298.90625,7906.14056875,1734.91299375,0.150544105664657,1480.84375,1341.4375,47.3288194444444,46.125,122.423824787402,123.84375
"740",3130,8,8,2003,2010,2006.5,2660726.4625,2647143.86,2610465.055,36678.805,220674.3625,2426469.4975,0.916747128504667,937.240084788052,903.75,43.5491544296344,44.5,103.118441220045,111
"741",3140,23,23,2003,2025,2014,15613.6044173913,15516.3731130435,15482.517026087,33.8560869565218,3536.30404782609,11980.0690652174,0.771309028176459,1085.81280193237,935.304347826087,44.6434384456124,41.4565217391304,121.916331452887,123.5
"742",3150,23,23,2003,2025,2014,129049.967613043,128568.459795652,127386.352178261,1182.1076173913,14000.4434434783,114568.016352174,0.898042792914694,1071.45164473208,1009.04347826087,41.0950271725407,39.7173913043478,114.867653259468,116.217391304348
"743",3160,23,23,2003,2025,2014,266160.32323913,265370.21976087,261684.488882609,3685.73087826087,81872.2947434783,183497.925017391,0.68714146887995,1210.20463367563,1195.9347826087,41.4279788004306,39.7608695652174,115.238737613166,118.869565217391
"744",3200,23,23,2003,2025,2014,15612.9516956522,15462.3034347826,15462.3034347826,0,3488.09681304348,11974.2066217391,0.759196584185691,1522.01086956522,1369.95652173913,42.4640909814823,40.3695652173913,99.4131556755577,97
"745",3210,23,23,2003,2025,2014,15059.9346173913,14847.4598347826,14478.2576565217,369.20217826087,2494.03970869565,12353.420126087,0.841655189952236,655.471014492754,591.847826086957,42.0645754927085,38.4782608695652,103.595613756847,103.717391304348
"746",3220,23,23,2003,2025,2014,107637.500730435,107071.333291304,105599.818943478,1471.51434782609,36689.9414565217,70381.3918347826,0.661820367434226,1131.69548494983,1104.28260869565,43.3191649032217,43.6086956521739,97.3178027499989,91.8913043478261
"747",3230,23,23,2003,2025,2014,159967.455173913,159200.368930435,158476.9979,723.371030434783,6535.37134782609,152664.997582609,0.960974552819597,1123.84460863447,1059.34782608696,41.9887996517537,39.8478260869565,121.469787080688,123
"748",3235,2,2,2011,2012,2011.5,4181.985,2495.63,2495.63,0,1748.75,746.88,0.5,1000,1000,32.5,32.5,117,117
"749",3240,8,8,2003,2010,2006.5,101753.465,101753.465,99042.05875,2711.40625,23375.2775,78378.1875,0.766044944276592,791.855701590077,694.6875,40.8216391106967,38.3125,110.903653415873,117
"750",3245,15,15,2011,2025,2018,256762.939373333,254065.722693333,247128.354386667,6937.36830666667,47297.3319466667,206768.390746667,0.816590121004812,1018.43267639911,963.233333333333,41.42008035826,38.3333333333333,114.307419196826,123
"751",3250,23,23,2003,2025,2014,83485.7274913044,82943.1577130435,82602.3107695652,340.846943478261,35268.1034652174,47675.0542478261,0.568411005947124,1438.11994478951,1228.54347826087,45.5698147370575,44.0434782608696,122.845987992728,124.369565217391
"752",3255,15,15,2011,2025,2018,3417252.54732,3391966.93020667,3340373.87986667,51593.05034,379149.82308,3012817.10712667,0.888650499874165,1200.63368209623,1140.53333333333,43.3120475284443,42.6666666666667,105.498127625988,111
"753",3256,15,15,2011,2025,2018,30625.4133333333,30625.4133333333,30168.7841133333,456.62922,14032.13412,16593.2792133333,0.549477955609812,1919.48888888889,1551.73333333333,44.4081380698964,42.2,120.871513523956,123
"754",3257,2,2,2011,2012,2011.5,3368.89,3368.89,3368.89,0,0,3368.89,1,2400,2400,42.5,45,123.257020554835,123
"755",3258,15,15,2011,2025,2018,209863.040053333,209298.06272,207650.102626667,1647.96009333333,19885.0265066667,189413.036213333,0.903925265484676,1697.99050377011,1680.06666666667,44.5019666913696,43.3666666666667,121.613132763143,123
"756",3260,17,17,2003,2019,2011,27249.0382352941,27028.5617647059,26510.4088235294,518.152941176471,8017.79764705882,19010.7641176471,0.691343281899675,956.35294117647,891.35294117647,47.2425621033593,45.6176470588235,114.395741364876,119.470588235294
"757",3261,6,6,2020,2025,2022.5,30095.8116333333,30095.8116333333,30015.7694833333,80.04215,7753.73881666667,22342.0728166667,0.762108925652493,480,480,50.6784060846561,49.0833333333333,121.570735598525,123.166666666667
"758",3270,6,6,2020,2025,2022.5,14611.8460666667,14003.1894,13683.36075,319.82865,2237.23451666667,11765.9548833333,0.861155869873279,NA,NA,47.7632275132275,47.0833333333333,107.253089434042,110.5
"759",3300,23,23,2003,2025,2014,367865.308913043,363663.623,354840.043817391,8823.5791826087,95179.5435434783,268484.079456522,0.739795248235555,947.520000593067,873.782608695652,42.2660664731089,41.5652173913044,98.5250258622692,106.04347826087
"760",3310,23,23,2003,2025,2014,192042.747678261,190622.159169565,187759.810886957,2862.3482826087,7315.09191304348,183307.067256522,0.963784545997641,900.378054601581,825.239130434783,41.3259773622339,40.5,98.122575971341,93.195652173913
"761",3320,17,17,2003,2019,2011,338517.695294118,336949.655882353,332037.415294118,4912.24058823529,87835.0817647059,249114.574117647,0.739079811638372,935.342252277243,878.235294117647,41.489873220235,41.0588235294118,94.0142844767536,91.4705882352941
"762",3321,6,6,2020,2025,2022.5,53079.3013333333,52768.443,52501.4163333333,267.026666666667,19002.8747833333,33765.5682166667,0.642745908932537,1530.45555555556,1091.08333333333,43.4206509539843,42.25,101.975795866371,101.416666666667
"763",3322,6,6,2020,2025,2022.5,95898.0364666667,95514.6431333333,92471.81045,3042.83268333333,19057.34955,76457.2935833333,0.801766854373843,1582.01785714286,1557.66666666667,42.1921153865795,40,102.539421580065,104.666666666667
"764",3323,6,6,2020,2025,2022.5,265556.71655,263125.754883333,261338.304233333,1787.45065,81351.0985166667,181774.656366667,0.696446609258142,1191.0172705314,1099.25,42.7869302341358,42.25,98.1897423590619,92
"765",3324,6,6,2020,2025,2022.5,54062.8069166667,52967.4522333333,51793.8005666667,1173.65166666667,17455.03155,35512.4206833333,0.67538554997343,1642.15,1598.75,44.0489359974009,41,106.279888589363,106.25
"766",3330,6,6,2020,2025,2022.5,42059.2396666667,42059.2396666667,41633.862,425.377666666667,16826.1275666667,25233.1121,0.61047454973487,1736.16666666667,1632.41666666667,44.1614923747277,40.9166666666667,106.000737540755,111.333333333333
"767",3400,17,17,2003,2019,2011,197724.333529412,196823.978823529,193239.127058824,3584.85176470588,133055.093529412,63768.8852941176,0.331568910098565,846.529777586792,695.529411764706,36.4474673900756,33.3823529411765,88.3654003159169,83.9411764705882
"768",3401,6,6,2020,2025,2022.5,167018.129216667,164719.300833333,160314.4888,4404.81203333333,104131.1815,60588.1193333333,0.372090734345729,1209.95317460317,681.5,33.78660812539,29.4166666666667,88.2000290382223,82.6666666666667
"769",3402,6,6,2020,2025,2022.5,99731.68295,98793.3046166667,98213.8399833333,579.464633333333,71600.79055,27192.5140666667,0.279385372383521,1232.29497354497,1230,40.0940343489915,36.8333333333333,97.0140731225014,91.5
"770",3410,8,8,2003,2010,2006.5,435976.20625,432626.20875,422550.82375,10075.385,87762.26125,344863.9475,0.800993063226108,536.446408456529,511,35.6064870571301,32.75,84.9627784112804,81
"771",3420,9,9,2011,2019,2015,671445.06,665963.807777778,647029.895555555,18933.9122222222,125648.088888889,540315.718888889,0.808439025505718,650.141072199311,576.888888888889,37.0720601358087,33.4444444444444,87.7561579674075,83.2222222222222
"772",3421,6,6,2020,2025,2022.5,390492.8759,385654.61225,372043.4806,13611.13165,90907.83935,294746.7729,0.763506623966445,791.718253968254,714,37.2606229667822,33.3333333333333,87.763367521891,81
"773",3422,6,6,2020,2025,2022.5,114944.865183333,114757.555833333,111221.468466667,3536.08736666667,23711.6621333333,91045.8937,0.79948975441859,837.817941317941,784.166666666667,36.0892555105713,30.3333333333333,93.1068767014001,89.6666666666667
"774",3423,6,6,2020,2025,2022.5,106688.312166667,105177.226066667,103103.936066667,2073.29,27095.7413666667,78081.4847,0.742718428618543,912.14417989418,831.166666666667,39.9146482280709,37,92.2290570642817,91.0833333333333
"775",3424,6,6,2020,2025,2022.5,135710.501066667,134783.29395,130518.431666667,4264.86228333333,12992.04635,121791.2476,0.903458625777417,738.497023809524,652.666666666667,35.8592191500256,30.5,90.4064525199165,89.5833333333333
"776",3430,6,6,2020,2025,2022.5,66260.5601666667,66260.5601666667,62743.3885,3517.17166666667,15493.1257333333,50767.4344333333,0.774687485080132,1095.01388888889,722.416666666667,39.9544404619673,37.75,80.839515846578,75.6666666666667
"777",3500,23,23,2003,2025,2014,636033.267078261,630912.66593913,609002.331413043,21910.334526087,56185.9369565217,574726.728982609,0.912460176728369,769.854347617798,717.5,43.0735423847993,42.7391304347826,85.198005705729,81.4347826086957
"778",3510,17,17,2003,2019,2011,137110.475882353,135869.787058824,130839.585882353,5030.20117647059,11631.4252941176,124238.361764706,0.915520868375647,648.479782210668,587.294117647059,42.9331877641124,43.9117647058824,86.3105691877946,83.3529411764706
"779",3515,6,6,2020,2025,2022.5,207874.740316667,207364.718016667,202497.88285,4866.83516666667,17128.4106666667,190236.30735,0.920561118335238,833.096942273413,694.75,46.3211756479118,46.4166666666667,91.5924972284761,90.3333333333333
"780",3520,23,23,2003,2025,2014,51816.3970304348,50925.4526826087,49999.8531,925.599582608696,16664.9967173913,34260.4559652174,0.676650632775189,662.756038647343,549.04347826087,42.274500257767,41.195652173913,87.7030761246978,82.5652173913043
"781",3530,8,8,2003,2010,2006.5,132959.5275,132029.08625,128959.07125,3070.015,40880.0925,91148.99375,0.688744055938895,708.320554993252,585.25,41.0591174481823,41.375,89.6414018455516,81
"782",3535,9,9,2011,2019,2015,152954.727777778,152747.38,147296.254444444,5451.12555555556,56967.39,95779.99,0.639280471168689,834.802059052059,695.944444444444,41.6461420307547,40.3333333333333,93.5824425999475,88.7777777777778
"783",3540,17,17,2003,2019,2011,88129.6347058823,87275.6747058824,84687.0417647059,2588.63294117647,45742.8829411765,41532.7917647059,0.447581310172357,1086.55442449707,893.264705882353,41.8860384405147,40.6176470588235,104.618677403743,111
"784",3545,6,6,2020,2025,2022.5,156966.154366667,155490.562183333,151503.074766667,3987.48741666667,56633.5277666667,98857.0344166667,0.637194989533766,947.849007936508,923.916666666667,43.0880102514201,39.9166666666667,93.4536442935671,91.1666666666667
"785",3550,6,6,2020,2025,2022.5,103120.504033333,102636.207366667,100496.948333333,2139.25903333333,30254.6807166667,72381.52665,0.698651449235484,1313.13148148148,968.083333333333,40.858844107411,36.3333333333333,110.454764896295,115
"786",3600,17,17,2003,2019,2011,2271086.96882353,2236223.63529412,2088405.31941176,147818.315882353,247740.006470588,1988483.62882353,0.888840784523872,433.446745105486,389.970588235294,40.3008497756278,39.7647058823529,77.2917687185906,75.8235294117647
"787",3601,6,6,2020,2025,2022.5,670795.550416667,659898.780183333,626240.14185,33658.6383333333,80250.0595333333,579648.72065,0.881103039725876,522.01364379085,432.5,47.9067689828841,48.5833333333333,77.7529353485827,73
"788",3602,6,6,2020,2025,2022.5,1638690.05248333,1616463.15608333,1540693.77405,75769.3820333333,313428.90885,1303034.24723333,0.807126197876963,546.80785509555,521.416666666667,45.5389939721719,44.5833333333333,80.3363560002207,74.3333333333333
"789",3603,6,6,2020,2025,2022.5,1408213.35966667,1390879.3352,1326324.21063333,64555.1245666667,157651.548016667,1233227.78718333,0.887017172341971,640.696375980111,597.75,40.6670372451251,38.8333333333333,80.740879940159,78.3333333333333
"790",3605,6,6,2020,2025,2022.5,52736.1272833333,52736.1272833333,51595.9507333333,1140.17655,22936.5668333333,29799.56045,0.586285796901607,381.316666666667,366.666666666667,40.2577938692453,32.8333333333333,86.4197677301905,80.3333333333333
"791",3610,23,23,2003,2025,2014,23776.5328782609,23343.1528782609,22793.4516304348,549.701247826087,2424.2576826087,20918.8951956522,0.899928171056643,724.819565217391,542.630434782609,40.7261726474794,37.8260869565217,95.4856483145638,91
"792",3620,23,23,2003,2025,2014,82260.6691869565,81898.7291869565,78749.5598130435,3149.16937391304,26323.243126087,55575.4860608696,0.691776816137814,645.078303218521,502.108695652174,37.1701007459909,34.7608695652174,93.7854784734724,92.3913043478261
"793",3630,23,23,2003,2025,2014,171827.290573913,170768.374147826,164780.876034783,5987.49811304348,30937.9729347826,139830.401213043,0.821052437009635,626.322388481084,501.413043478261,41.884513736311,41.195652173913,90.9463473599547,88.4347826086957
"794",3640,23,23,2003,2025,2014,307658.982004348,303547.415604348,293612.074713044,9935.34089130435,14333.5786391304,289213.836965217,0.951611324802304,580.599422310872,540.760869565217,36.5757752023969,34.5434782608696,84.8562497279318,81
"795",3645,15,15,2011,2025,2018,589497.638893333,585240.333133333,565325.221613333,19915.11152,46392.0612266667,538848.271906667,0.919900201783576,647.112878191334,579.7,37.2501741199848,34.2333333333333,88.0700181942478,85.6666666666667
"796",3646,15,15,2011,2025,2018,54142.0981866667,53283.2282,51868.1331066667,1415.09509333333,8568.68280666667,44714.5453933333,0.828942420789147,510.79671957672,440.7,42.3684373855648,39.0666666666667,93.7044045359826,91
"797",3647,15,15,2011,2025,2018,47216.1684266667,46890.5790933333,45580.5734933333,1310.0056,11565.5965866667,35324.9825066667,0.751670347400593,714.827857142857,553.7,37.6618216251222,32.1333333333333,89.9526241909279,84.8666666666667
