"","year","soc_2010_major","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"360",2021,"37-0000",5762631.54780001,5666771.34680001,5126934.9691,539836.3777,3217904.29019999,2448867.0566,0.432145026988404,616.171091445428,555.5,44.7492184786384,45,71.2187577580837,73
"361",2022,"37-0000",5820603.37,5757728.53,5350134.88,407593.65,3309395.95,2448332.58,0.425225428264503,617.088815789474,578.5,44.5627530364373,44,70.8094538368239,73
"362",2023,"37-0000",5758753.16000001,5688622.65000001,5312449.99,376172.66,3364930.82000001,2323691.83,0.408480571303143,716.470989761092,634,44.4943469785575,44,70.3911790633538,73
"363",2024,"37-0000",6087122.26,5984039.17,5664932.28,319106.89,3408104.07,2575935.1,0.430467620084111,716.470989761092,634,45.0428902627512,45,71.5238768248237,73
"364",2025,"37-0000",6235174.79999998,6125158.26999998,5788252.52999999,336905.74,3581513.43,2543644.84,0.415278222680113,716.470989761092,634,45.5748456790123,45,71.7758634831163,73
"365",2000,"39-0000",3596176.36,3499115.64,3355715.07,143400.57,614263.36,2884852.28,0.824451826347757,303.065637065637,262.5,38.0638421358096,36,78.1639508261578,73
"366",2001,"39-0000",3649374.20000001,3556730.25000001,3429152.93000001,127577.32,713723.84,2843006.41000001,0.79933146743417,343.107221006565,275,37.4449912126538,36,77.7728351341795,73
"367",2002,"39-0000",3615518.41000001,3535814.65000001,3339914.34000001,195900.31,655419.08,2880395.57,0.814634208837842,349.77802690583,272.5,37.6126811594203,36,78.3445385464421,73
"368",2003,"39-0000",4367838.50000001,4289701.62000002,4035292.92,254408.7,950285.23,3339416.39,0.778472883622148,356.266666666667,300,38.9022988505747,38,79.3063865943196,73
"369",2004,"39-0000",4488899.3,4400588.68,4154061.04,246527.64,966918.49,3433670.19,0.780275194908696,355.907335907336,300,39.5691376701967,39,78.6094008040761,73
"370",2005,"39-0000",4502211.16,4432810.75,4185046.81,247763.94,992994.549999999,3439816.2,0.775989861511683,381.387533875339,317.5,39.5252022401991,39,79.5255939541292,73
"371",2006,"39-0000",4735543.54000002,4646916.87000002,4442757.07000002,204159.8,1059990.1,3586926.77000001,0.771893896608485,383.405913978495,320,39.5002985074627,39,79.3913719937059,73
"372",2007,"39-0000",4699272.53,4617597.34,4442578,175019.34,973243.94,3644353.4,0.789231527060781,417.021333333333,301,39.9480085132259,39,78.8761363003559,73
"373",2008,"39-0000",4826891.25,4726496.55999999,4485508.17999999,240988.38,996208.14,3730288.42,0.789229056373205,408.511049723757,350,40.096793708409,40,79.6832972263925,81
"374",2009,"39-0000",5214490.86000001,5124056.92000001,4790058.14,333998.78,1116376.21,4007680.70999999,0.782130404203238,382.338709677419,300,40.0181923187987,39,79.2199687937892,81
"375",2010,"39-0000",5421930.20999999,5327729.13999999,4898890.1,428839.04,1175139.93,4152589.21000001,0.779429490666637,417.910194174757,341,40.2021917808219,40,80.0638023576403,81
"376",2011,"39-0000",5395787.15,5300579.48,4857154.14,443425.34,1165523.87,4135055.61,0.780113877284979,395.895652173913,309.5,40.2813605442177,40,79.7959386225448,81
"377",2012,"39-0000",5516807.94,5431104.47,4989333.25000001,441771.22,1151771.86,4279332.61000001,0.787930453858495,424.638461538462,330.5,40.4585406301824,40,80.9123776088954,81
"378",2013,"39-0000",5862529.87000001,5761366.44000001,5275465.31000001,485901.13,1269980.19,4491386.25,0.779569620640204,446.978313253012,378.5,40.924579489962,40,80.8259026238917,81
