"","year","occ2010","n_months","n_months_explicit","min_month","max_month","month","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"15",2000,520,12,12,1,12,6.5,230131.480133333,228765.647033333,225207.991916667,3557.65511666667,110779.506733333,117986.1403,0.516398968367474,628.643603891951,523.16125,40.8503779796906,39.4166666666667,88.4126523069075,81
"16",2000,530,12,12,1,12,6.5,288749.447425,287492.922416667,280088.339341667,7404.583075,131328.215616667,156164.7068,0.544468685903948,728.960592210589,659.725,42.9713554686817,43.3333333333333,88.8718492448116,81
"17",2000,540,12,12,1,12,6.5,464164.792925,461498.635783333,454710.187766667,6788.44801666667,121862.886575,339635.749208333,0.735842326839296,598.454781090085,523.8525,38.3767765224275,36.0833333333333,88.1372962733139,81
"18",2000,565,12,12,1,12,6.5,266079.818416667,263116.917233333,257789.18515,5327.73208333333,157153.887066667,105963.030166667,0.398727044275292,834.992193241929,785.890833333333,44.3181879681787,44.125,96.4486538348933,99.125
"19",2000,630,12,12,1,12,6.5,651536.106983333,646971.590458333,632581.308033333,14390.282425,216155.169483333,430816.420975,0.664744275165522,814.695465576007,714.131666666667,39.9735635267334,38.9166666666667,97.740180385187,107.041666666667
"20",2000,710,12,12,1,12,6.5,449809.320575,445414.028891667,430778.808091667,14635.2208,276054.096475,169359.932416667,0.380160220475484,1123.58621166623,989.507916666667,45.3446158233579,44.7083333333333,105.892214683255,111
"21",2000,735,12,12,1,12,6.5,145848.631,144502.664758333,141369.934208333,3132.73055,67357.4565583333,77145.2082,0.535615841736187,1039.74950396825,873.380833333333,39.676389466212,37.4166666666667,110.295678517172,111
"22",2000,740,12,12,1,12,6.5,488897.8314,482964.174133333,473641.591833333,9322.5823,61325.13585,421639.038283333,0.872763462900151,621.907385970016,568.6375,41.7540974613979,41.5416666666667,87.3966498077943,81
"23",2000,800,12,12,1,12,6.5,1662534.28705,1647571.41465,1619059.24248333,28512.1721666667,712241.282633333,935330.132016666,0.567605057078194,847.417768317479,745.187916666667,40.82026242461,39.0416666666667,104.415828878889,111
"24",2000,860,12,12,1,12,6.5,109329.992675,108441.880433333,105416.818283333,3025.06215,30335.871575,78106.0088583333,0.711971853905065,828.513189148084,737.129583333333,39.769955734229,36.9166666666667,94.3120793941928,94.875
"25",2000,910,12,12,1,12,6.5,878219.501133333,869006.902341667,845817.201666667,23189.700675,422306.271608333,446700.630733333,0.514129056801315,942.969422251405,824.225,41.9744383343662,41.375,99.6897194445529,111
"26",2000,1006,12,12,1,12,6.5,1872496.37594167,1862253.78665,1825391.43261667,36862.3540333333,1315274.83350833,546978.953141667,0.293007170180295,1075.51802917891,989.81125,37.8696964518752,36.3333333333333,104.748521519433,111
"27",2000,1010,12,12,1,12,6.5,722388.96785,717752.479483334,706545.362166667,11207.1173166667,526058.672375,191693.807108333,0.266698262104505,978.135071429165,912.288333333333,36.9608307948173,35.625,100.849347475587,111
"28",2000,1200,12,12,1,12,6.5,22536.4310833333,22041.9529333333,22041.9529333333,0,15077.7822583333,6964.170675,0.315118012622606,1430.133125,1253.01541666667,38.8355642043142,33.875,113.216618503486,113.5
