"","PRUNEDUR_MO","Category","Probability"
"779",155,"21 to 80",0
"780",155,"81 or more",0
"781",156,"0",1
"782",156,"1 to 10",0
"783",156,"11 to 20",0
"784",156,"21 to 80",0
"785",156,"81 or more",0
"786",157,"0",1
"787",157,"1 to 10",0
"788",157,"11 to 20",0
"789",157,"21 to 80",0
"790",157,"81 or more",0
"791",158,"0",1
"792",158,"1 to 10",0
"793",158,"11 to 20",0
"794",158,"21 to 80",0
"795",158,"81 or more",0
"796",159,"0",1
"797",159,"1 to 10",0
"798",159,"11 to 20",0
"799",159,"21 to 80",0
"800",159,"81 or more",0
"801",160,"0",1
"802",160,"1 to 10",0
"803",160,"11 to 20",0
"804",160,"21 to 80",0
"805",160,"81 or more",0
"806",161,"0",1
"807",161,"1 to 10",0
"808",161,"11 to 20",0
"809",161,"21 to 80",0
"810",161,"81 or more",0
"811",162,"0",1
"812",162,"1 to 10",0
"813",162,"11 to 20",0
"814",162,"21 to 80",0
"815",162,"81 or more",0
"816",163,"0",1
"817",163,"1 to 10",0
"818",163,"11 to 20",0
"819",163,"21 to 80",0
"820",163,"81 or more",0
"821",164,"0",1
"822",164,"1 to 10",0
"823",164,"11 to 20",0
"824",164,"21 to 80",0
"825",164,"81 or more",0
"826",165,"0",1
"827",165,"1 to 10",0
"828",165,"11 to 20",0
"829",165,"21 to 80",0
"830",165,"81 or more",0
"831",166,"0",1
"832",166,"1 to 10",0
"833",166,"11 to 20",0
"834",166,"21 to 80",0
"835",166,"81 or more",0
"836",167,"0",1
"837",167,"1 to 10",0
"838",167,"11 to 20",0
"839",167,"21 to 80",0
"840",167,"81 or more",0
"841",168,"0",1
"842",168,"1 to 10",0
"843",168,"11 to 20",0
"844",168,"21 to 80",0
"845",168,"81 or more",0
"846",169,"0",1
"847",169,"1 to 10",0
"848",169,"11 to 20",0
"849",169,"21 to 80",0
"850",169,"81 or more",0
"851",170,"0",1
"852",170,"1 to 10",0
"853",170,"11 to 20",0
"854",170,"21 to 80",0
"855",170,"81 or more",0
"856",171,"0",1
"857",171,"1 to 10",0
"858",171,"11 to 20",0
"859",171,"21 to 80",0
"860",171,"81 or more",0
"861",172,"0",1
"862",172,"1 to 10",0
"863",172,"11 to 20",0
"864",172,"21 to 80",0
"865",172,"81 or more",0
"866",173,"0",1
"867",173,"1 to 10",0
"868",173,"11 to 20",0
"869",173,"21 to 80",0
"870",173,"81 or more",0
"871",174,"0",1
"872",174,"1 to 10",0
"873",174,"11 to 20",0
"874",174,"21 to 80",0
"875",174,"81 or more",0
"876",175,"0",1
"877",175,"1 to 10",0
"878",175,"11 to 20",0
"879",175,"21 to 80",0
"880",175,"81 or more",0
"881",176,"0",1
"882",176,"1 to 10",0
"883",176,"11 to 20",0
"884",176,"21 to 80",0
"885",176,"81 or more",0
"886",177,"0",1
"887",177,"1 to 10",0
"888",177,"11 to 20",0
"889",177,"21 to 80",0
"890",177,"81 or more",0
"891",178,"0",1
"892",178,"1 to 10",0
"893",178,"11 to 20",0
"894",178,"21 to 80",0
"895",178,"81 or more",0
"896",179,"0",1
"897",179,"1 to 10",0
"898",179,"11 to 20",0
"899",179,"21 to 80",0
"900",179,"81 or more",0
"901",180,"0",1
"902",180,"1 to 10",0
"903",180,"11 to 20",0
"904",180,"21 to 80",0
"905",180,"81 or more",0
"906",181,"0",1
"907",181,"1 to 10",0
"908",181,"11 to 20",0
"909",181,"21 to 80",0
"910",181,"81 or more",0
"911",182,"0",1
"912",182,"1 to 10",0
"913",182,"11 to 20",0
"914",182,"21 to 80",0
"915",182,"81 or more",0
"916",183,"0",1
"917",183,"1 to 10",0
"918",183,"11 to 20",0
"919",183,"21 to 80",0
"920",183,"81 or more",0
"921",184,"0",1
"922",184,"1 to 10",0
"923",184,"11 to 20",0
"924",184,"21 to 80",0
"925",184,"81 or more",0
"926",185,"0",1
"927",185,"1 to 10",0
"928",185,"11 to 20",0
"929",185,"21 to 80",0
"930",185,"81 or more",0
"931",186,"0",1
"932",186,"1 to 10",0
"933",186,"11 to 20",0
"934",186,"21 to 80",0
"935",186,"81 or more",0
"936",187,"0",1
"937",187,"1 to 10",0
"938",187,"11 to 20",0
"939",187,"21 to 80",0
"940",187,"81 or more",0
"941",188,"0",1
"942",188,"1 to 10",0
"943",188,"11 to 20",0
"944",188,"21 to 80",0
"945",188,"81 or more",0
"946",189,"0",1
"947",189,"1 to 10",0
"948",189,"11 to 20",0
"949",189,"21 to 80",0
"950",189,"81 or more",0
"951",190,"0",1
"952",190,"1 to 10",0
"953",190,"11 to 20",0
"954",190,"21 to 80",0
"955",190,"81 or more",0
"956",191,"0",1
"957",191,"1 to 10",0
"958",191,"11 to 20",0
"959",191,"21 to 80",0
"960",191,"81 or more",0
"961",192,"0",1
"962",192,"1 to 10",0
"963",192,"11 to 20",0
"964",192,"21 to 80",0
"965",192,"81 or more",0
"966",193,"0",1
"967",193,"1 to 10",0
"968",193,"11 to 20",0
"969",193,"21 to 80",0
"970",193,"81 or more",0
"971",194,"0",1
"972",194,"1 to 10",0
"973",194,"11 to 20",0
"974",194,"21 to 80",0
"975",194,"81 or more",0
"976",195,"0",1
"977",195,"1 to 10",0
"978",195,"11 to 20",0
"979",195,"21 to 80",0
"980",195,"81 or more",0
"981",196,"0",1
"982",196,"1 to 10",0
"983",196,"11 to 20",0
"984",196,"21 to 80",0
"985",196,"81 or more",0
"986",197,"0",1
"987",197,"1 to 10",0
"988",197,"11 to 20",0
"989",197,"21 to 80",0
"990",197,"81 or more",0
"991",198,"0",1
"992",198,"1 to 10",0
"993",198,"11 to 20",0
"994",198,"21 to 80",0
"995",198,"81 or more",0
"996",199,"0",1
"997",199,"1 to 10",0
"998",199,"11 to 20",0
"999",199,"21 to 80",0
"1000",199,"81 or more",0
"1001",200,"0",1
"1002",200,"1 to 10",0
"1003",200,"11 to 20",0
"1004",200,"21 to 80",0
"1005",200,"81 or more",0
