,id,label,u_perc_change,ltu_perc_change
419,419,cutting workers,26.565786819082053,91.1358474859681
420,420,"extruding, forming, pressing, and compacting machine setters, operators, and tenders",71.8074686487942,246.52888612188318
421,421,"furnace, kiln, oven, drier, and kettle operators and tenders",-14.95234978726164,-51.12427727851424
422,422,"inspectors, testers, sorters, samplers, and weighers",44.0243481824165,60.060831439534695
423,423,jewelers and precious stone and metal workers,56.154424760846446,108.37346760233184
424,424,"medical, dental, and ophthalmic laboratory technicians",19.61178726290228,42.921278548793744
425,425,packaging and filling machine operators and tenders,70.90965119534212,177.7924186923375
426,426,painting workers,41.56042141231303,149.3384530119827
427,427,"miscellaneous production workers, including semiconductor processors",37.61861789509918,68.45539158196175
428,428,photographic process workers and processing machine operators,49.24167422259627,62.43919341438203
429,429,adhesive bonding machine operators and tenders,80.93971955818229,185.20265993646964
430,430,etchers and engravers,63.03268245653017,64.73729295266901
431,431,"molders, shapers, and casters, except metal and plastic",45.275533930375566,114.44229766400616
432,432,"paper goods machine setters, operators, and tenders",15.08356543171559,59.523968058827194
433,433,tire builders,69.9076961220224,155.92788348728703
434,434,helpers--production workers,9.03598003865903,26.664234279381578
435,435,supervisors of transportation and material moving workers,-3.4339779777749686,-9.425208820497557
436,436,aircraft pilots and flight engineers,-4.320673291332588,-19.67675953659165
437,437,air traffic controllers and airfield operations specialists,-8.869653133718959,-34.42886959576881
438,438,flight attendants,-7.4733753470512685,-30.349342429161208
439,439,"ambulance drivers and attendants, except emergency medical technicians",-15.061974626242627,-44.60110590241583
440,440,bus drivers,21.811018837414085,48.80228043148401
441,441,driver/sales workers and truck drivers,25.695601344724054,35.49357432660497
442,442,taxi drivers and chauffeurs,38.7647111882054,72.39044515867994
443,443,locomotive engineers and operators,54.86574345239185,186.49892379974747
444,444,"subway, streetcar, and other rail transportation workers",37.750897530350294,119.82734086319132
445,445,railroad conductors and yardmasters,32.9860025693876,106.10554336072161
446,446,"sailors and marine oilers, and ship engineers",-7.764339671727806,-28.106756507487635
447,447,ship and boat captains and operators,-5.573234508826391,-19.52633492404355
448,448,"miscellaneous transportation workers, including bridge and lock tenders and traffic technicians",43.86305556036408,75.77616091588017
449,449,parking lot attendants,37.03565597629738,83.21636205109992
450,450,automotive and watercraft service attendants   ,39.052710697760304,95.45724963224554
451,451,transportation inspectors,42.52337338927557,108.22879019446313
452,452,"transportation attendants, except flight attendants",22.621087934862782,63.97218000160532
