"","date","ue","eu","ee","en","un","ne","nu","u","Etotal","Utotal","LFtotal","NILFtotal","EEtotal","ENtotal","EUtotal","UEtotal","UNtotal","NEtotal","NUtotal","EE","EU","EN","UE","UN","NE","NU"
"16","1997-04-01",0.33825822505529,0.0124455817842406,0.0280144620612757,1,1,0,0,0.0493581106794035,93032147.5422011,4830305.8036,97862453.345801,50822085.5970997,2606245.5678,93032147.5422011,1157839.2008,1633890.6676,4830305.8036,0,0,0.0266317211422313,0.0118312913810645,0.950641889320598,0.0166957869104976,0.0493581106794035,0,0
"17","1997-05-01",0.30068300965748,0.0138790700921853,0.029303546807433,0,0,0,0,0.047101076040148,93760596.1030997,4634515.64020001,98395111.7432996,50271679.3325009,2747518.0166,0,1301309.8852,1393520.111,0,0,0,0.0279233182210101,0.0132253509564068,0,0.0141624933018575,0,0,0
"18","1997-06-01",0.306981554204241,0.0130115812573017,0.0298524098058694,0,0,0,0,0.0518954086667257,94242624.8164008,5158459.914,99401084.7304013,49165377.2902999,2813369.4572,0,1226245.5707,1583552.0417,0,0,0,0.0283032067993071,0.0123363399305537,0,0.0159309332085757,0,0,0
"19","1997-07-01",0.2973466877964,0.0122897789266258,0.031922591258112,0,0,0,0,0.0491870198101624,94915504.311701,4910125.2172,99825629.5289012,48488148.5687999,3029948.8482,0,1166490.5647,1460009.47,0,0,0,0.0303524141295075,0.0116852813270993,0,0.0146255974231277,0,0,0
"20","1997-08-01",0.286673656096818,0.0118401334723582,0.032742247758064,1,1,0,0,0.0478070059649217,94996864.4969998,4769532.7482,99766397.2451996,49866440.3562002,3110410.8736,94996864.4969998,1124775.5551,1367299.3908,4769532.7482,0,0,0.0311769389241894,0.0112740921408197,0.95219299403508,0.0137050091870065,0.0478070059649217,0,0
"21","1997-09-01",0.339483164996678,0.0122826057902007,0.0317245919512186,1,1,0,0,0.0459710191644945,93987476.8692011,4528898.1647,98516375.0339012,50512541.5093,2981714.3522,93987476.8692011,1154411.1276,1537484.6829,4528898.1647,0,0,0.0302661801266433,0.0117179618840294,0.954028980835505,0.0156063870840855,0.0459710191644945,0,0
"22","1997-10-01",0.273259217140979,0.010804124299019,0.0274586671921277,0,0,0,0,0.0443008148310975,95150626.3948988,4410645.4692,99561271.8640988,50971456.2483002,2612709.3833,0,1028019.1947,1205249.528,0,0,0,0.0262422258613405,0.0103254927890359,0,0.0121056059794532,0,0,0
"23","1997-11-01",0.267588752112328,0.0127353153669792,0.023775396749235,0,0,0,0,0.0443659965542709,94962479.6049997,4408701.4775,99371181.0824994,50760347.0563006,2257770.6289,0,1209377.1258,1179718.9268,0,0,0,0.022720577578982,0.0121703004092903,0,0.0118718416541772,0,0,0
"24","1997-12-01",0.244291201808027,0.0167784594686666,0.0262074549483572,1,1,0,0,0.0429921515503659,95063844.8529004,4270601.575,99334446.4279004,51013503.0746999,2491381.4312,95063844.8529004,1595024.8678,1043270.3912,4270601.575,0,0,0.025080740073468,0.016057117396408,0.957007848449634,0.0105026043705517,0.0429921515503659,0,0
"25","1998-01-01",0.28344455158742,0.0126878772890004,0.026465370302434,1,1,0,0,0.0524463461091504,93631507.8906,5182429.98629999,98813937.8769002,51424748.8018003,2477992.5283,93631507.8906,1187985.0825,1468931.5436,5182429.98629999,0,0,0.0250773583316456,0.012022444485311,0.947553653890847,0.0148656310553068,0.0524463461091504,0,0
"26","1998-02-01",0.277021222324946,0.0119018451725561,0.0255710245012792,0,0,0,0,0.0498409150697769,93387308.0674006,4898662.7227,98285970.7901011,50913765.4532002,2388009.14270001,0,1111481.2817,1357033.5352,0,0,0,0.0242965412408636,0.011308646318137,0,0.0138069912144234,0,0,0
"27","1998-03-01",0.344871853823775,0.0111517153594182,0.0280206056410077,0,0,0,0,0.0488249546827916,94354153.5886988,4843311.7498,99197465.338499,50928780.1166001,2643860.5283,0,1052210.6638,1670321.9018,0,0,0,0.0266525008404011,0.0106072333623592,0,0.0168383526343161,0,0,0
"28","1998-04-01",0.303008935571398,0.0107506465934589,0.0253260700876365,1,1,0,0,0.0414360695484678,95152766.6180005,4113191.12899999,99265957.7470008,51396385.5858006,2409845.6364,95152766.6180005,1022953.7663,1246333.6658,4113191.12899999,0,0,0.0242766572860957,0.0103051820535213,0.958563930451529,0.0125554993281436,0.0414360695484678,0,0
"29","1998-05-01",0.320698005534011,0.011604743499177,0.0295497178962225,0,0,0,0,0.0415332686135202,94997488.2148993,4116529.1047,99114017.319599,50514363.1008,2807148.9776,0,1102421.4838,1320162.6736,0,0,0,0.0283224215253851,0.0111227605702348,0,0.0133196364076643,0,0,0
"30","1998-06-01",0.335275711517823,0.0148285589819559,0.0327565399835364,0,0,0,0,0.0488983617841946,95399022.9880996,4904687.10439999,100303710.092499,49146983.9063997,3124941.9109,0,1414630.0392,1644422.4587,0,0,0,0.0311547988406232,0.014103466740118,0,0.0163944330392518,0,0,0
"31","1998-07-01",0.307342840430848,0.0117700529700891,0.0292949965856293,0,0,0,0,0.0476100481755973,95786505.3848999,4788374.8954,100574880.2803,48893238.9164001,2806065.3482,0,1127412.2422,1471672.7414,0,0,0,0.0279002603868835,0.0112096801811539,0,0.0146326074393376,0,0,0
"32","1998-08-01",0.32867730224248,0.0120958709885462,0.0305941561389607,0,0,0,0,0.0438145613444517,95929483.2343002,4395704.0737,100325187.308001,49729534.0727996,2934881.5884,0,1160350.6532,1444768.1564,0,0,0,0.0292536866080284,0.0115658957071039,0,0.014400851821632,0,0,0
"33","1998-09-01",0.354431628283412,0.0117108287629043,0.0302369096874763,0,0,0,0,0.0417967680718937,95774263.0523993,4177667.6666,99951930.7189993,50393585.2799991,2895917.7423,0,1121595.9945,1480697.5535,0,0,0,0.0289731045860581,0.0112213539691715,0,0.0148140965647054,0,0,0
