"","occ_code","occ_title","occ_group","tot_emp","emp_prse","year"
"10830","53-3031","Driver/Sales Workers","detailed",394110,1.4,2012
"10831","53-3032","Heavy and Tractor-Trailer Truck Drivers","detailed",1556510,0.6,2012
"10832","53-3033","Light Truck or Delivery Services Drivers","detailed",769010,0.7,2012
"10833","53-3040","Taxi Drivers and Chauffeurs","broad",167360,1.3,2012
"10834","53-3041","Taxi Drivers and Chauffeurs","detailed",167360,1.3,2012
"10835","53-3090","Miscellaneous Motor Vehicle Operators","broad",60050,6.9,2012
"10836","53-3099","Motor Vehicle Operators, All Other","detailed",60050,6.9,2012
"10837","53-4000","Rail Transportation Workers","minor",122720,4.9,2012
"10838","53-4010","Locomotive Engineers and Operators","broad",43810,5.6,2012
"10839","53-4011","Locomotive Engineers","detailed",37060,6.2,2012
"10840","53-4012","Locomotive Firers","detailed",1580,15.9,2012
"10841","53-4013","Rail Yard Engineers, Dinkey Operators, and Hostlers","detailed",5170,9.8,2012
"10842","53-4020","Railroad Brake, Signal, and Switch Operators","broad",24380,7.3,2012
"10843","53-4021","Railroad Brake, Signal, and Switch Operators","detailed",24380,7.3,2012
"10844","53-4030","Railroad Conductors and Yardmasters","broad",42740,5.8,2012
"10845","53-4031","Railroad Conductors and Yardmasters","detailed",42740,5.8,2012
"10846","53-4040","Subway and Streetcar Operators","broad",8750,2.2,2012
"10847","53-4041","Subway and Streetcar Operators","detailed",8750,2.2,2012
"10848","53-4090","Miscellaneous Rail Transportation Workers","broad",3040,7,2012
"10849","53-4099","Rail Transportation Workers, All Other","detailed",3040,7,2012
"10850","53-5000","Water Transportation Workers","minor",76160,4,2012
"10851","53-5010","Sailors and Marine Oilers","broad",31500,5.1,2012
"10852","53-5011","Sailors and Marine Oilers","detailed",31500,5.1,2012
"10853","53-5020","Ship and Boat Captains and Operators","broad",33900,3.4,2012
"10854","53-5021","Captains, Mates, and Pilots of Water Vessels","detailed",30860,3.7,2012
"10855","53-5022","Motorboat Operators","detailed",3040,7.8,2012
"10856","53-5030","Ship Engineers","broad",10760,6.1,2012
"10857","53-5031","Ship Engineers","detailed",10760,6.1,2012
"10858","53-6000","Other Transportation Workers","minor",329100,1.4,2012
"10859","53-6010","Bridge and Lock Tenders","broad",3460,4.8,2012
"10860","53-6011","Bridge and Lock Tenders","detailed",3460,4.8,2012
"10861","53-6020","Parking Lot Attendants","broad",126520,2.1,2012
"10862","53-6021","Parking Lot Attendants","detailed",126520,2.1,2012
"10863","53-6030","Automotive and Watercraft Service Attendants","broad",108510,1.8,2012
"10864","53-6031","Automotive and Watercraft Service Attendants","detailed",108510,1.8,2012
"10865","53-6040","Traffic Technicians","broad",6340,3.5,2012
"10866","53-6041","Traffic Technicians","detailed",6340,3.5,2012
"10867","53-6050","Transportation Inspectors","broad",24310,2.8,2012
"10868","53-6051","Transportation Inspectors","detailed",24310,2.8,2012
"10869","53-6060","Transportation Attendants, Except Flight Attendants","broad",23790,4,2012
"10870","53-6061","Transportation Attendants, Except Flight Attendants","detailed",23790,4,2012
"10871","53-6090","Miscellaneous Transportation Workers","broad",36190,7.8,2012
"10872","53-6099","Transportation Workers, All Other","detailed",36190,7.8,2012
"10873","53-7000","Material Moving Workers","minor",4036120,0.4,2012
"10874","53-7010","Conveyor Operators and Tenders","broad",39540,2.3,2012
"10875","53-7011","Conveyor Operators and Tenders","detailed",39540,2.3,2012
"10876","53-7020","Crane and Tower Operators","broad",43040,2.8,2012
"10877","53-7021","Crane and Tower Operators","detailed",43040,2.8,2012
"10878","53-7030","Dredge, Excavating, and Loading Machine Operators","broad",49660,2.3,2012
"10879","53-7031","Dredge Operators","detailed",1740,8.2,2012
"10880","53-7032","Excavating and Loading Machine and Dragline Operators","detailed",45020,2.4,2012
"10881","53-7033","Loading Machine Operators, Underground Mining","detailed",2900,7.3,2012
"10882","53-7040","Hoist and Winch Operators","broad",3050,6.2,2012
"10883","53-7041","Hoist and Winch Operators","detailed",3050,6.2,2012
"10884","53-7050","Industrial Truck and Tractor Operators","broad",496570,0.9,2012
"10885","53-7051","Industrial Truck and Tractor Operators","detailed",496570,0.9,2012
"10886","53-7060","Laborers and Material Movers, Hand","broad",3213370,0.5,2012
"10887","53-7061","Cleaners of Vehicles and Equipment","detailed",302960,1.1,2012
"10888","53-7062","Laborers and Freight, Stock, and Material Movers, Hand","detailed",2143940,0.6,2012
"10889","53-7063","Machine Feeders and Offbearers","detailed",105790,3.2,2012
"10890","53-7064","Packers and Packagers, Hand","detailed",660670,0.9,2012
"10891","53-7070","Pumping Station Operators","broad",30570,3.9,2012
"10892","53-7071","Gas Compressor and Gas Pumping Station Operators","detailed",4350,7.5,2012
"10893","53-7072","Pump Operators, Except Wellhead Pumpers","detailed",11870,6.9,2012
"10894","53-7073","Wellhead Pumpers","detailed",14350,6,2012
"10895","53-7080","Refuse and Recyclable Material Collectors","broad",117670,1.6,2012
"10896","53-7081","Refuse and Recyclable Material Collectors","detailed",117670,1.6,2012
"10897","53-7110","Mine Shuttle Car Operators","broad",2990,5.9,2012
"10898","53-7111","Mine Shuttle Car Operators","detailed",2990,5.9,2012
"10899","53-7120","Tank Car, Truck, and Ship Loaders","broad",12390,5,2012
"10900","53-7121","Tank Car, Truck, and Ship Loaders","detailed",12390,5,2012
"10901","53-7190","Miscellaneous Material Moving Workers","broad",27260,4.9,2012
"10902","53-7199","Material Moving Workers, All Other","detailed",27260,4.9,2012
"10903","00-0000","All Occupations","total",132588810,0.1,2013
"10904","11-0000","Management Occupations","major",6542950,0.2,2013
"10905","11-1000","Top Executives","minor",2278260,0.2,2013
"10906","11-1010","Chief Executives","broad",248760,0.6,2013
"10907","11-1011","Chief Executives","detailed",248760,0.6,2013
"10908","11-1020","General and Operations Managers","broad",1973700,0.3,2013
"10909","11-1021","General and Operations Managers","detailed",1973700,0.3,2013
"10910","11-1030","Legislators","broad",55800,1.3,2013
"10911","11-1031","Legislators","detailed",55800,1.3,2013
"10912","11-2000","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","minor",608470,0.5,2013
"10913","11-2010","Advertising and Promotions Managers","broad",28530,2.7,2013
"10914","11-2011","Advertising and Promotions Managers","detailed",28530,2.7,2013
"10915","11-2020","Marketing and Sales Managers","broad",526220,0.5,2013
"10916","11-2021","Marketing Managers","detailed",174010,0.8,2013
"10917","11-2022","Sales Managers","detailed",352220,0.7,2013
"10918","11-2030","Public Relations and Fundraising Managers","broad",53730,1.2,2013
"10919","11-2031","Public Relations and Fundraising Managers","detailed",53730,1.2,2013
"10920","11-3000","Operations Specialties Managers","minor",1582020,0.3,2013
"10921","11-3010","Administrative Services Managers","broad",269500,0.6,2013
"10922","11-3011","Administrative Services Managers","detailed",269500,0.6,2013
"10923","11-3020","Computer and Information Systems Managers","broad",319080,0.9,2013
"10924","11-3021","Computer and Information Systems Managers","detailed",319080,0.9,2013
"10925","11-3030","Financial Managers","broad",499320,0.5,2013
"10926","11-3031","Financial Managers","detailed",499320,0.5,2013
"10927","11-3050","Industrial Production Managers","broad",165340,0.6,2013
"10928","11-3051","Industrial Production Managers","detailed",165340,0.6,2013
"10929","11-3060","Purchasing Managers","broad",69620,0.8,2013
"10930","11-3061","Purchasing Managers","detailed",69620,0.8,2013
"10931","11-3070","Transportation, Storage, and Distribution Managers","broad",102610,1,2013
"10932","11-3071","Transportation, Storage, and Distribution Managers","detailed",102610,1,2013
"10933","11-3110","Compensation and Benefits Managers","broad",17570,1.3,2013
"10934","11-3111","Compensation and Benefits Managers","detailed",17570,1.3,2013
"10935","11-3120","Human Resources Managers","broad",110650,0.6,2013
"10936","11-3121","Human Resources Managers","detailed",110650,0.6,2013
"10937","11-3130","Training and Development Managers","broad",28340,1.3,2013
"10938","11-3131","Training and Development Managers","detailed",28340,1.3,2013
"10939","11-9000","Other Management Occupations","minor",2074200,0.3,2013
"10940","11-9010","Farmers, Ranchers, and Other Agricultural Managers","broad",3770,7.9,2013
"10941","11-9013","Farmers, Ranchers, and Other Agricultural Managers","detailed",3770,7.9,2013
"10942","11-9020","Construction Managers","broad",213720,1.1,2013
"10943","11-9021","Construction Managers","detailed",213720,1.1,2013
"10944","11-9030","Education Administrators","broad",431540,0.5,2013
"10945","11-9031","Education Administrators, Preschool and Childcare Center/Program","detailed",47560,1.7,2013
"10946","11-9032","Education Administrators, Elementary and Secondary School","detailed",226760,0.6,2013
"10947","11-9033","Education Administrators, Postsecondary","detailed",126340,1.1,2013
"10948","11-9039","Education Administrators, All Other","detailed",30880,1.7,2013
"10949","11-9040","Architectural and Engineering Managers","broad",183430,1.1,2013
"10950","11-9041","Architectural and Engineering Managers","detailed",183430,1.1,2013
"10951","11-9050","Food Service Managers","broad",191030,1.1,2013
"10952","11-9051","Food Service Managers","detailed",191030,1.1,2013
"10953","11-9060","Funeral Service Managers","broad",8810,3.6,2013
"10954","11-9061","Funeral Service Managers","detailed",8810,3.6,2013
"10955","11-9070","Gaming Managers","broad",4460,4.3,2013
"10956","11-9071","Gaming Managers","detailed",4460,4.3,2013
"10957","11-9080","Lodging Managers","broad",30950,2.2,2013
"10958","11-9081","Lodging Managers","detailed",30950,2.2,2013
"10959","11-9110","Medical and Health Services Managers","broad",300180,0.6,2013
"10960","11-9111","Medical and Health Services Managers","detailed",300180,0.6,2013
"10961","11-9120","Natural Sciences Managers","broad",51900,2.1,2013
"10962","11-9121","Natural Sciences Managers","detailed",51900,2.1,2013
"10963","11-9130","Postmasters and Mail Superintendents","broad",17930,0,2013
"10964","11-9131","Postmasters and Mail Superintendents","detailed",17930,0,2013
"10965","11-9140","Property, Real Estate, and Community Association Managers","broad",165960,1.2,2013
"10966","11-9141","Property, Real Estate, and Community Association Managers","detailed",165960,1.2,2013
"10967","11-9150","Social and Community Service Managers","broad",115330,0.8,2013
"10968","11-9151","Social and Community Service Managers","detailed",115330,0.8,2013
"10969","11-9160","Emergency Management Directors","broad",9800,1.5,2013
"10970","11-9161","Emergency Management Directors","detailed",9800,1.5,2013
"10971","11-9190","Miscellaneous Managers","broad",345390,0.7,2013
"10972","11-9199","Managers, All Other","detailed",345390,0.7,2013
"10973","13-0000","Business and Financial Operations Occupations","major",6658090,0.3,2013
"10974","13-1000","Business Operations Specialists","minor",4137510,0.3,2013
"10975","13-1010","Agents and Business Managers of Artists, Performers, and Athletes","broad",11680,5.1,2013
"10976","13-1011","Agents and Business Managers of Artists, Performers, and Athletes","detailed",11680,5.1,2013
"10977","13-1020","Buyers and Purchasing Agents","broad",408060,0.6,2013
"10978","13-1021","Buyers and Purchasing Agents, Farm Products","detailed",11290,3.4,2013
"10979","13-1022","Wholesale and Retail Buyers, Except Farm Products","detailed",112290,1.5,2013
"10980","13-1023","Purchasing Agents, Except Wholesale, Retail, and Farm Products","detailed",284480,0.6,2013
"10981","13-1030","Claims Adjusters, Appraisers, Examiners, and Investigators","broad",288680,1.3,2013
"10982","13-1031","Claims Adjusters, Examiners, and Investigators","detailed",275500,1.3,2013
"10983","13-1032","Insurance Appraisers, Auto Damage","detailed",13180,5.4,2013
"10984","13-1040","Compliance Officers","broad",236090,0.5,2013
"10985","13-1041","Compliance Officers","detailed",236090,0.5,2013
"10986","13-1050","Cost Estimators","broad",202600,0.8,2013
"10987","13-1051","Cost Estimators","detailed",202600,0.8,2013
"10988","13-1070","Human Resources Workers","broad",503940,0.5,2013
"10989","13-1071","Human Resources Specialists","detailed",426570,0.5,2013
"10990","13-1074","Farm Labor Contractors","detailed",1210,17.5,2013
"10991","13-1075","Labor Relations Specialists","detailed",76160,1.6,2013
"10992","13-1080","Logisticians","broad",120340,1.2,2013
"10993","13-1081","Logisticians","detailed",120340,1.2,2013
"10994","13-1110","Management Analysts","broad",567840,1,2013
"10995","13-1111","Management Analysts","detailed",567840,1,2013
"10996","13-1120","Meeting, Convention, and Event Planners","broad",73290,1.8,2013
"10997","13-1121","Meeting, Convention, and Event Planners","detailed",73290,1.8,2013
"10998","13-1130","Fundraisers","broad",50530,1.7,2013
"10999","13-1131","Fundraisers","detailed",50530,1.7,2013
"11000","13-1140","Compensation, Benefits, and Job Analysis Specialists","broad",81520,1.1,2013
"11001","13-1141","Compensation, Benefits, and Job Analysis Specialists","detailed",81520,1.1,2013
"11002","13-1150","Training and Development Specialists","broad",224110,1,2013
"11003","13-1151","Training and Development Specialists","detailed",224110,1,2013
"11004","13-1160","Market Research Analysts and Marketing Specialists","broad",430350,0.7,2013
"11005","13-1161","Market Research Analysts and Marketing Specialists","detailed",430350,0.7,2013
"11006","13-1190","Miscellaneous Business Operations Specialists","broad",938480,0.5,2013
"11007","13-1199","Business Operations Specialists, All Other","detailed",938480,0.5,2013
"11008","13-2000","Financial Specialists","minor",2520580,0.4,2013
"11009","13-2010","Accountants and Auditors","broad",1168330,0.6,2013
"11010","13-2011","Accountants and Auditors","detailed",1168330,0.6,2013
"11011","13-2020","Appraisers and Assessors of Real Estate","broad",60210,2.3,2013
"11012","13-2021","Appraisers and Assessors of Real Estate","detailed",60210,2.3,2013
"11013","13-2030","Budget Analysts","broad",58740,1.2,2013
"11014","13-2031","Budget Analysts","detailed",58740,1.2,2013
"11015","13-2040","Credit Analysts","broad",66490,2,2013
"11016","13-2041","Credit Analysts","detailed",66490,2,2013
"11017","13-2050","Financial Analysts and Advisors","broad",526630,0.9,2013
"11018","13-2051","Financial Analysts","detailed",250670,1.3,2013
"11019","13-2052","Personal Financial Advisors","detailed",183420,1.6,2013
"11020","13-2053","Insurance Underwriters","detailed",92540,2,2013
"11021","13-2060","Financial Examiners","broad",30680,2.1,2013
"11022","13-2061","Financial Examiners","detailed",30680,2.1,2013
"11023","13-2070","Credit Counselors and Loan Officers","broad",329570,1,2013
"11024","13-2071","Credit Counselors","detailed",27710,2.9,2013
"11025","13-2072","Loan Officers","detailed",301860,1.1,2013
"11026","13-2080","Tax Examiners, Collectors and Preparers, and Revenue Agents","broad",132600,1.3,2013
"11027","13-2081","Tax Examiners and Collectors, and Revenue Agents","detailed",64790,0.3,2013
"11028","13-2082","Tax Preparers","detailed",67810,2.6,2013
"11029","13-2090","Miscellaneous Financial Specialists","broad",147330,1.8,2013
"11030","13-2099","Financial Specialists, All Other","detailed",147330,1.8,2013
"11031","15-0000","Computer and Mathematical Occupations","major",3696180,0.5,2013
"11032","15-1100","Computer Occupations","minor",3573120,0.5,2013
"11033","15-1110","Computer and Information Research Scientists","broad",24380,4.4,2013
"11034","15-1111","Computer and Information Research Scientists","detailed",24380,4.4,2013
"11035","15-1120","Computer and Information Analysts","broad",585120,1,2013
"11036","15-1121","Computer Systems Analysts","detailed",507100,1,2013
"11037","15-1122","Information Security Analysts","detailed",78020,2.7,2013
"11038","15-1130","Software Developers and Programmers","broad",1442500,1,2013
"11039","15-1131","Computer Programmers","detailed",312340,1.4,2013
"11040","15-1132","Software Developers, Applications","detailed",643830,1.6,2013
"11041","15-1133","Software Developers, Systems Software","detailed",373510,2,2013
"11042","15-1134","Web Developers","detailed",112820,1.4,2013
"11043","15-1140","Database and Systems Administrators and Network Architects","broad",618480,0.7,2013
"11044","15-1141","Database Administrators","detailed",114910,1,2013
"11045","15-1142","Network and Computer Systems Administrators","detailed",362310,0.8,2013
"11046","15-1143","Computer Network Architects","detailed",141270,1.7,2013
"11047","15-1150","Computer Support Specialists","broad",706360,0.7,2013
"11048","15-1151","Computer User Support Specialists","detailed",541250,0.8,2013
"11049","15-1152","Computer Network Support Specialists","detailed",165100,1.3,2013
"11050","15-1190","Miscellaneous Computer Occupations","broad",196280,1.1,2013
"11051","15-1199","Computer Occupations, All Other","detailed",196280,1.1,2013
"11052","15-2000","Mathematical Science Occupations","minor",123070,1.5,2013
"11053","15-2010","Actuaries","broad",20080,3.8,2013
"11054","15-2011","Actuaries","detailed",20080,3.8,2013
"11055","15-2020","Mathematicians","broad",3030,6.2,2013
"11056","15-2021","Mathematicians","detailed",3030,6.2,2013
"11057","15-2030","Operations Research Analysts","broad",72680,2.1,2013
"11058","15-2031","Operations Research Analysts","detailed",72680,2.1,2013
"11059","15-2040","Statisticians","broad",24950,2.1,2013
"11060","15-2041","Statisticians","detailed",24950,2.1,2013
"11061","15-2090","Miscellaneous Mathematical Science Occupations","broad",2330,7.6,2013
"11062","15-2091","Mathematical Technicians","detailed",1080,8,2013
"11063","15-2099","Mathematical Science Occupations, All Other","detailed",1240,12.3,2013
"11064","17-0000","Architecture and Engineering Occupations","major",2380840,0.5,2013
"11065","17-1000","Architects, Surveyors, and Cartographers","minor",153200,1.1,2013
"11066","17-1010","Architects, Except Naval","broad",100550,1.5,2013
"11067","17-1011","Architects, Except Landscape and Naval","detailed",84210,1.8,2013
"11068","17-1012","Landscape Architects","detailed",16330,5,2013
"11069","17-1020","Surveyors, Cartographers, and Photogrammetrists","broad",52650,1.5,2013
"11070","17-1021","Cartographers and Photogrammetrists","detailed",11290,2.7,2013
"11071","17-1022","Surveyors","detailed",41360,1.8,2013
"11072","17-2000","Engineers","minor",1547580,0.7,2013
"11073","17-2010","Aerospace Engineers","broad",71500,5.8,2013
"11074","17-2011","Aerospace Engineers","detailed",71500,5.8,2013
"11075","17-2020","Agricultural Engineers","broad",2590,7.1,2013
"11076","17-2021","Agricultural Engineers","detailed",2590,7.1,2013
"11077","17-2030","Biomedical Engineers","broad",19890,4.5,2013
"11078","17-2031","Biomedical Engineers","detailed",19890,4.5,2013
"11079","17-2040","Chemical Engineers","broad",33300,2.5,2013
"11080","17-2041","Chemical Engineers","detailed",33300,2.5,2013
"11081","17-2050","Civil Engineers","broad",262170,1.1,2013
"11082","17-2051","Civil Engineers","detailed",262170,1.1,2013
