"","occ_code","occ_title","occ_group","tot_emp","emp_prse","year"
"10544","47-5020","Earth Drillers, Except Oil and Gas","broad",17680,4.1,2012
"10545","47-5021","Earth Drillers, Except Oil and Gas","detailed",17680,4.1,2012
"10546","47-5030","Explosives Workers, Ordnance Handling Experts, and Blasters","broad",6330,5.2,2012
"10547","47-5031","Explosives Workers, Ordnance Handling Experts, and Blasters","detailed",6330,5.2,2012
"10548","47-5040","Mining Machine Operators","broad",23290,4.2,2012
"10549","47-5041","Continuous Mining Machine Operators","detailed",13640,6.1,2012
"10550","47-5042","Mine Cutting and Channeling Machine Operators","detailed",6750,7.1,2012
"10551","47-5049","Mining Machine Operators, All Other","detailed",2900,7.7,2012
"10552","47-5050","Rock Splitters, Quarry","broad",4490,8.6,2012
"10553","47-5051","Rock Splitters, Quarry","detailed",4490,8.6,2012
"10554","47-5060","Roof Bolters, Mining","broad",6790,5.3,2012
"10555","47-5061","Roof Bolters, Mining","detailed",6790,5.3,2012
"10556","47-5070","Roustabouts, Oil and Gas","broad",59320,3.5,2012
"10557","47-5071","Roustabouts, Oil and Gas","detailed",59320,3.5,2012
"10558","47-5080","Helpers--Extraction Workers","broad",25840,4.2,2012
"10559","47-5081","Helpers--Extraction Workers","detailed",25840,4.2,2012
"10560","47-5090","Miscellaneous Extraction Workers","broad",9250,10.2,2012
"10561","47-5099","Extraction Workers, All Other","detailed",9250,10.2,2012
"10562","49-0000","Installation, Maintenance, and Repair Occupations","major",5069590,0.3,2012
"10563","49-1000","Supervisors of Installation, Maintenance, and Repair Workers","minor",421650,0.5,2012
"10564","49-1010","First-Line Supervisors of Mechanics, Installers, and Repairers","broad",421650,0.5,2012
"10565","49-1011","First-Line Supervisors of Mechanics, Installers, and Repairers","detailed",421650,0.5,2012
"10566","49-2000","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","minor",572810,0.9,2012
"10567","49-2010","Computer, Automated Teller, and Office Machine Repairers","broad",113480,1.9,2012
"10568","49-2011","Computer, Automated Teller, and Office Machine Repairers","detailed",113480,1.9,2012
"10569","49-2020","Radio and Telecommunications Equipment Installers and Repairers","broad",224000,1.5,2012
"10570","49-2021","Radio, Cellular, and Tower Equipment Installers and Repairers","detailed",15780,7.5,2012
"10571","49-2022","Telecommunications Equipment Installers and Repairers, Except Line Installers","detailed",208220,1.5,2012
"10572","49-2090","Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers","broad",235330,1.3,2012
"10573","49-2091","Avionics Technicians","detailed",16810,5.4,2012
"10574","49-2092","Electric Motor, Power Tool, and Related Repairers","detailed",19020,5.4,2012
"10575","49-2093","Electrical and Electronics Installers and Repairers, Transportation Equipment","detailed",15530,5,2012
"10576","49-2094","Electrical and Electronics Repairers, Commercial and Industrial Equipment","detailed",66440,1.7,2012
"10577","49-2095","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","detailed",23920,3.5,2012
"10578","49-2096","Electronic Equipment Installers and Repairers, Motor Vehicles","detailed",12590,5.1,2012
"10579","49-2097","Electronic Home Entertainment Equipment Installers and Repairers","detailed",27050,4.8,2012
"10580","49-2098","Security and Fire Alarm Systems Installers","detailed",53960,2.6,2012
"10581","49-3000","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers","minor",1438930,0.5,2012
"10582","49-3010","Aircraft Mechanics and Service Technicians","broad",119160,3,2012
"10583","49-3011","Aircraft Mechanics and Service Technicians","detailed",119160,3,2012
"10584","49-3020","Automotive Technicians and Repairers","broad",747210,0.5,2012
"10585","49-3021","Automotive Body and Related Repairers","detailed",135610,1.3,2012
"10586","49-3022","Automotive Glass Installers and Repairers","detailed",14780,6.2,2012
"10587","49-3023","Automotive Service Technicians and Mechanics","detailed",596830,0.7,2012
"10588","49-3030","Bus and Truck Mechanics and Diesel Engine Specialists","broad",230030,1.1,2012
"10589","49-3031","Bus and Truck Mechanics and Diesel Engine Specialists","detailed",230030,1.1,2012
"10590","49-3040","Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics","broad",163490,1.1,2012
"10591","49-3041","Farm Equipment Mechanics and Service Technicians","detailed",34150,2.1,2012
"10592","49-3042","Mobile Heavy Equipment Mechanics, Except Engines","detailed",110200,1.3,2012
"10593","49-3043","Rail Car Repairers","detailed",19140,4.2,2012
"10594","49-3050","Small Engine Mechanics","broad",60690,2,2012
"10595","49-3051","Motorboat Mechanics and Service Technicians","detailed",18380,4,2012
"10596","49-3052","Motorcycle Mechanics","detailed",14950,4,2012
"10597","49-3053","Outdoor Power Equipment and Other Small Engine Mechanics","detailed",27350,3,2012
"10598","49-3090","Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers","broad",118350,1.9,2012
"10599","49-3091","Bicycle Repairers","detailed",10490,7,2012
"10600","49-3092","Recreational Vehicle Service Technicians","detailed",10970,5.3,2012
"10601","49-3093","Tire Repairers and Changers","detailed",96880,2.1,2012
"10602","49-9000","Other Installation, Maintenance, and Repair Occupations","minor",2636210,0.3,2012
"10603","49-9010","Control and Valve Installers and Repairers","broad",56060,2.6,2012
"10604","49-9011","Mechanical Door Repairers","detailed",15750,6.5,2012
"10605","49-9012","Control and Valve Installers and Repairers, Except Mechanical Door","detailed",40310,2.6,2012
"10606","49-9020","Heating, Air Conditioning, and Refrigeration Mechanics and Installers","broad",240480,1.3,2012
"10607","49-9021","Heating, Air Conditioning, and Refrigeration Mechanics and Installers","detailed",240480,1.3,2012
"10608","49-9030","Home Appliance Repairers","broad",34510,4.9,2012
"10609","49-9031","Home Appliance Repairers","detailed",34510,4.9,2012
"10610","49-9040","Industrial Machinery Installation, Repair, and Maintenance Workers","broad",430030,0.7,2012
"10611","49-9041","Industrial Machinery Mechanics","detailed",301560,0.8,2012
"10612","49-9043","Maintenance Workers, Machinery","detailed",88450,1.2,2012
"10613","49-9044","Millwrights","detailed",38050,2.8,2012
"10614","49-9045","Refractory Materials Repairers, Except Brickmasons","detailed",1970,9.9,2012
"10615","49-9050","Line Installers and Repairers","broad",245480,1.6,2012
"10616","49-9051","Electrical Power-Line Installers and Repairers","detailed",112450,1.8,2012
"10617","49-9052","Telecommunications Line Installers and Repairers","detailed",133040,2.6,2012
"10618","49-9060","Precision Instrument and Equipment Repairers","broad",59930,2.1,2012
"10619","49-9061","Camera and Photographic Equipment Repairers","detailed",2590,9.5,2012
"10620","49-9062","Medical Equipment Repairers","detailed",35740,2.4,2012
"10621","49-9063","Musical Instrument Repairers and Tuners","detailed",7130,7.3,2012
"10622","49-9064","Watch Repairers","detailed",2670,11.8,2012
"10623","49-9069","Precision Instrument and Equipment Repairers, All Other","detailed",11800,5.1,2012
"10624","49-9070","Maintenance and Repair Workers, General","broad",1230270,0.4,2012
"10625","49-9071","Maintenance and Repair Workers, General","detailed",1230270,0.4,2012
"10626","49-9080","Wind Turbine Service Technicians","broad",3200,9.7,2012
"10627","49-9081","Wind Turbine Service Technicians","detailed",3200,9.7,2012
"10628","49-9090","Miscellaneous Installation, Maintenance, and Repair Workers","broad",336260,1,2012
"10629","49-9091","Coin, Vending, and Amusement Machine Servicers and Repairers","detailed",36080,2.7,2012
"10630","49-9092","Commercial Divers","detailed",3480,10.1,2012
"10631","49-9093","Fabric Menders, Except Garment","detailed",770,15.8,2012
"10632","49-9094","Locksmiths and Safe Repairers","detailed",16190,3.7,2012
"10633","49-9095","Manufactured Building and Mobile Home Installers","detailed",3310,8.9,2012
"10634","49-9096","Riggers","detailed",14690,4.4,2012
"10635","49-9097","Signal and Track Switch Repairers","detailed",8600,5.4,2012
"10636","49-9098","Helpers--Installation, Maintenance, and Repair Workers","detailed",124370,1.5,2012
"10637","49-9099","Installation, Maintenance, and Repair Workers, All Other","detailed",128770,1.9,2012
"10638","51-0000","Production Occupations","major",8594170,0.3,2012
"10639","51-1000","Supervisors of Production Workers","minor",568820,0.4,2012
"10640","51-1010","First-Line Supervisors of Production and Operating Workers","broad",568820,0.4,2012
"10641","51-1011","First-Line Supervisors of Production and Operating Workers","detailed",568820,0.4,2012
"10642","51-2000","Assemblers and Fabricators","minor",1718700,0.7,2012
"10643","51-2010","Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","broad",41180,5.2,2012
"10644","51-2011","Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","detailed",41180,5.2,2012
"10645","51-2020","Electrical, Electronics, and Electromechanical Assemblers","broad",261780,1.6,2012
"10646","51-2021","Coil Winders, Tapers, and Finishers","detailed",14300,3.6,2012
"10647","51-2022","Electrical and Electronic Equipment Assemblers","detailed",197500,1.8,2012
"10648","51-2023","Electromechanical Equipment Assemblers","detailed",49990,3.9,2012
"10649","51-2030","Engine and Other Machine Assemblers","broad",40750,4.5,2012
"10650","51-2031","Engine and Other Machine Assemblers","detailed",40750,4.5,2012
"10651","51-2040","Structural Metal Fabricators and Fitters","broad",78340,2.1,2012
"10652","51-2041","Structural Metal Fabricators and Fitters","detailed",78340,2.1,2012
"10653","51-2090","Miscellaneous Assemblers and Fabricators","broad",1296650,0.8,2012
"10654","51-2091","Fiberglass Laminators and Fabricators","detailed",17580,5.3,2012
"10655","51-2092","Team Assemblers","detailed",1006980,0.9,2012
"10656","51-2093","Timing Device Assemblers and Adjusters","detailed",1140,29.2,2012
"10657","51-2099","Assemblers and Fabricators, All Other","detailed",270950,2,2012
"10658","51-3000","Food Processing Workers","minor",720970,0.9,2012
"10659","51-3010","Bakers","broad",157230,1.6,2012
"10660","51-3011","Bakers","detailed",157230,1.6,2012
"10661","51-3020","Butchers and Other Meat, Poultry, and Fish Processing Workers","broad",372060,1.4,2012
"10662","51-3021","Butchers and Meat Cutters","detailed",134210,1.5,2012
"10663","51-3022","Meat, Poultry, and Fish Cutters and Trimmers","detailed",158480,2.7,2012
"10664","51-3023","Slaughterers and Meat Packers","detailed",79370,2.7,2012
"10665","51-3090","Miscellaneous Food Processing Workers","broad",191690,1.6,2012
"10666","51-3091","Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","detailed",20350,7,2012
"10667","51-3092","Food Batchmakers","detailed",100520,2.1,2012
"10668","51-3093","Food Cooking Machine Operators and Tenders","detailed",33250,3.4,2012
"10669","51-3099","Food Processing Workers, All Other","detailed",37570,3.4,2012
"10670","51-4000","Metal Workers and Plastic Workers","minor",1837280,0.5,2012
"10671","51-4010","Computer Control Programmers and Operators","broad",162860,1.7,2012
"10672","51-4011","Computer-Controlled Machine Tool Operators, Metal and Plastic","detailed",138870,1.9,2012
"10673","51-4012","Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic","detailed",23990,2.3,2012
"10674","51-4020","Forming Machine Setters, Operators, and Tenders, Metal and Plastic","broad",132800,2.1,2012
"10675","51-4021","Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","detailed",74490,2.6,2012
"10676","51-4022","Forging Machine Setters, Operators, and Tenders, Metal and Plastic","detailed",22270,4.8,2012
"10677","51-4023","Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","detailed",36040,4.4,2012
"10678","51-4030","Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic","broad",333520,1.1,2012
"10679","51-4031","Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","detailed",182570,1.6,2012
"10680","51-4032","Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","detailed",20660,2.9,2012
"10681","51-4033","Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","detailed",69510,1.9,2012
"10682","51-4034","Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","detailed",37920,2.5,2012
"10683","51-4035","Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","detailed",22840,3.2,2012
"10684","51-4040","Machinists","broad",388370,1,2012
"10685","51-4041","Machinists","detailed",388370,1,2012
"10686","51-4050","Metal Furnace Operators, Tenders, Pourers, and Casters","broad",31140,3.3,2012
"10687","51-4051","Metal-Refining Furnace Operators and Tenders","detailed",20520,4.2,2012
"10688","51-4052","Pourers and Casters, Metal","detailed",10620,3.9,2012
"10689","51-4060","Model Makers and Patternmakers, Metal and Plastic","broad",9830,4.6,2012
"10690","51-4061","Model Makers, Metal and Plastic","detailed",5700,6.4,2012
"10691","51-4062","Patternmakers, Metal and Plastic","detailed",4130,5.8,2012
"10692","51-4070","Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic","broad",136950,1.8,2012
"10693","51-4071","Foundry Mold and Coremakers","detailed",12510,4.3,2012
"10694","51-4072","Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","detailed",124440,1.9,2012
"10695","51-4080","Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","broad",85110,1.9,2012
"10696","51-4081","Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","detailed",85110,1.9,2012
"10697","51-4110","Tool and Die Makers","broad",76430,2.7,2012
"10698","51-4111","Tool and Die Makers","detailed",76430,2.7,2012
"10699","51-4120","Welding, Soldering, and Brazing Workers","broad",379140,0.8,2012
"10700","51-4121","Welders, Cutters, Solderers, and Brazers","detailed",329710,0.9,2012
"10701","51-4122","Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","detailed",49430,2.4,2012
"10702","51-4190","Miscellaneous Metal Workers and Plastic Workers","broad",101120,1.6,2012
"10703","51-4191","Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic","detailed",21760,3.8,2012
"10704","51-4192","Layout Workers, Metal and Plastic","detailed",12380,4.9,2012
"10705","51-4193","Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic","detailed",34420,3,2012
"10706","51-4194","Tool Grinders, Filers, and Sharpeners","detailed",11950,3.6,2012
"10707","51-4199","Metal Workers and Plastic Workers, All Other","detailed",20620,3.3,2012
"10708","51-5100","Printing Workers","minor",267390,1.1,2012
"10709","51-5110","Printing Workers","broad",267390,1.1,2012
"10710","51-5111","Prepress Technicians and Workers","detailed",41420,2,2012
"10711","51-5112","Printing Press Operators","detailed",173010,1.3,2012
"10712","51-5113","Print Binding and Finishing Workers","detailed",52960,2.5,2012
"10713","51-6000","Textile, Apparel, and Furnishings Workers","minor",575080,0.8,2012
"10714","51-6010","Laundry and Dry-Cleaning Workers","broad",198750,1.3,2012
"10715","51-6011","Laundry and Dry-Cleaning Workers","detailed",198750,1.3,2012
"10716","51-6020","Pressers, Textile, Garment, and Related Materials","broad",52850,2.6,2012
"10717","51-6021","Pressers, Textile, Garment, and Related Materials","detailed",52850,2.6,2012
"10718","51-6030","Sewing Machine Operators","broad",142380,1.7,2012
"10719","51-6031","Sewing Machine Operators","detailed",142380,1.7,2012
"10720","51-6040","Shoe and Leather Workers","broad",9180,7.2,2012
"10721","51-6041","Shoe and Leather Workers and Repairers","detailed",5750,7.2,2012
"10722","51-6042","Shoe Machine Operators and Tenders","detailed",3420,13.7,2012
"10723","51-6050","Tailors, Dressmakers, and Sewers","broad",30360,4.5,2012
"10724","51-6051","Sewers, Hand","detailed",5500,8.7,2012
"10725","51-6052","Tailors, Dressmakers, and Custom Sewers","detailed",24870,5,2012
"10726","51-6060","Textile Machine Setters, Operators, and Tenders","broad",75520,1.8,2012
"10727","51-6061","Textile Bleaching and Dyeing Machine Operators and Tenders","detailed",11350,4.7,2012
"10728","51-6062","Textile Cutting Machine Setters, Operators, and Tenders","detailed",15620,5.1,2012
"10729","51-6063","Textile Knitting and Weaving Machine Setters, Operators, and Tenders","detailed",21110,2.6,2012
"10730","51-6064","Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","detailed",27440,2.6,2012
"10731","51-6090","Miscellaneous Textile, Apparel, and Furnishings Workers","broad",66040,2.4,2012
"10732","51-6091","Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","detailed",17620,3.9,2012
