X.1,year,SOC_minor,lf_total,lf,emp,unemp,male,female,female_share,mean_weekly_earnings,median_weekly_earnings,mean_age,median_age,mean_educ,median_educ,id,h_mean,a_mean,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,mu,sigma
11,2012,17-3000,628978.23,626578.22,605118.509999999,21459.71,534246.909999999,92331.31,0.147357994665056,1173.49206349206,1149.5,44.5735294117647,47,86.1127988936482,81,11,28.541666666666668,59364.166666666664,16.671666666666667,21.039166666666667,27.26,34.6275,42.80166666666667,34676.666666666664,43759.166666666664,56700.833333333336,72022.5,89026.66666666667,10.933449593674752,0.36819010056575413
12,2012,19-1000,298523.65,296032.47,286901.33,9131.14,174092.02,121940.45,0.411915794237031,1164.54166666667,894,42.7867298578199,42,115.991351827048,123,12,41.839166666666664,87024.16666666667,21.291666666666668,27.126666666666665,36.64416666666666,51.11333333333333,68.2325,44285.833333333336,56421.666666666664,76218.33333333333,106314.16666666667,141922.5,11.263515237344533,0.4576898226853649
13,2012,19-2000,395832.9,395832.9,386336.26,9496.64,289614.53,106218.37,0.268341439026417,1449.31707317073,1154,43.4444444444444,42,115.576312277226,111,13,43.4125,90297.5,21.723333333333333,28.079166666666666,38.4625,54.225,71.82249999999999,45183.333333333336,58403.333333333336,79997.5,112784.16666666667,149385.83333333334,11.306176287889679,0.47116726325951114
14,2012,19-3000,330344.74,330344.74,322952.57,7392.17,122977.84,207366.9,0.627728778124332,1229.48148148148,986.5,44.9177489177489,45,121.297707661396,123,14,40.7325,84722.5,21.045833333333334,27.895,37.281666666666666,49.3525,62.2725,43775,58020.833333333336,77543.33333333333,102653.33333333333,129525.83333333333,11.244943259321245,0.42318079698318256
15,2012,19-4000,303132.31,303132.31,288936.95,14195.36,153451.11,149681.2,0.493781741708761,766.290322580645,568.5,38.7564766839378,37.5,95.3974531781188,92,15,24.418333333333333,50788.333333333336,13.8675,17.111666666666668,22.215,29.15833333333333,37.7875,28844.166666666668,35592.5,46207.5,60646.666666666664,78596.66666666667,10.755071039935768,0.3919568026341097
16,2012,21-1000,1881407.96,1872817.8,1762231.95,110585.85,484012.76,1388805.04,0.741559077450033,866.646408839779,804,42.7203791469194,41,105.974319621481,111,16,23.878333333333334,49665.833333333336,13.205833333333333,16.591666666666665,21.620833333333334,28.961666666666666,37.57,27465,34511.666666666664,44969.166666666664,60240,78145,10.731173204270686,0.40904194705247854
17,2012,21-2000,589971.56,584258.14,564101.88,20156.26,386844.69,197413.45,0.337887376288844,856.859649122807,776,49.8988439306358,52,109.156475492151,123,17,24.245,50430.833333333336,11.366666666666667,15.424166666666666,21.769166666666667,29.4775,39.630833333333335,23645.833333333332,32085,45279.166666666664,61309.166666666664,82431.66666666667,10.702219602338603,0.4856550206522623
18,2012,23-1000,1207686.79,1206097.12,1182629.24,23467.88,840758.700000001,365338.42,0.302909619749361,1909.10185185185,1923,46.888166449935,48,122.652712071811,124,18,67.77833333333334,140983.33333333334,27.058333333333334,37.71333333333333,57.77916666666667,85.99166666666667,99.16666666666667,56278.333333333336,78441.66666666667,120179.16666666667,178865.83333333334,206266.66666666666,11.64724615337317,0.5293743800756352
19,2012,23-2000,637489.61,637489.61,597265.05,40224.56,108126.01,529363.6,0.830387808202866,885.984615384615,805.5,42.70737913486,43,95.6264334410094,92,19,27.240833333333335,56658.333333333336,15.4625,19.243333333333332,24.915,32.33833333333333,42.3275,32161.666666666668,40026.666666666664,51820,67264.16666666667,88041.66666666667,10.866662315240081,0.3911395657981237
20,2012,25-1000,1378423.2,1367944.46,1325485.02,42459.44,716671.13,651273.330000001,0.476096324846405,1077.4064516129,971,44.1322404371585,43,117.977478149953,123,20,41.219551282051285,85736.66666666667,16.75801282051282,24.158653846153847,33.975160256410255,50.52043269230769,74.56770833333333,34856.666666666664,50250,70668.33333333333,105082.5,155100.83333333334,11.192770025280167,0.57472043103841
21,2012,25-2000,5302435.57,5242079.12,5083679.7,158399.42,1112069.14,4130009.97999999,0.787857238598871,907.257679180887,855,42.9057908383751,43,112.426181232457,111,21,28.896634615384617,60105,16.483974358974358,21.35096153846154,27.321314102564102,35.12860576923077,44.42988782051282,34286.666666666664,44410,56828.333333333336,73067.5,92414.16666666667,10.944939320157616,0.3829976052661342
22,2012,25-3000,818938.65,809551.62,779524.85,30026.77,291244.44,518307.18,0.640239815714284,625.973333333333,455,41.4354527938343,39,97.7193380083657,111,22,19.925833333333333,41448.333333333336,9.829166666666666,12.0925,16.1575,23.6075,33.931666666666665,20443.333333333332,25152.5,33609.166666666664,49103.333333333336,70576.66666666667,10.489363175768913,0.48612497145096745
23,2012,25-4000,317725.98,312408.84,306723.63,5685.21,55496.32,256912.52,0.822359956267563,762.65,644,45.9289617486339,50,107.716069045934,111,23,24.928333333333335,51853.333333333336,12.1875,16.484166666666667,23.17,30.905833333333334,39.5725,25350,34287.5,48194.166666666664,64282.5,82309.16666666667,10.751068777299333,0.4608781150014916
24,2012,25-9000,1154148.16,1150962.3,1090652.37,60309.93,130341.12,1020621.18,0.88675465738539,529.587719298246,380.5,43.0628078817734,44,91.5881352499557,81,24,16.729567307692307,34797.5,9.485576923076923,11.29647435897436,14.171875,19.165865384615383,27.16025641025641,19730,23496.666666666668,29477.5,39865,56493.333333333336,10.356204785115256,0.4064089920314126
25,2012,27-1000,1126813.79,1107624.33,1052722.44,54901.89,533355.29,574269.04,0.518469145581156,911.012048192771,895.5,44.0647590361446,43,99.5597561584804,111,25,26.923333333333332,56002.5,11.843333333333334,15.2975,22.33416666666667,33.51833333333333,47.465833333333336,24634.166666666668,31822.5,46455.833333333336,69712.5,98728.33333333333,10.77566760049319,0.5502372315193748
26,2012,27-2000,679231.1,659840.4,576900.6,82939.8,422040.82,237799.58,0.360389542683352,768.93023255814,440.5,39.3324675324675,37,96.6600051770096,92,26,31.375833333333333,65256.666666666664,10.106666666666666,13.1825,21.299166666666665,35.67333333333333,61.91083333333333,21021.666666666668,27417.5,44302.5,74198.33333333333,128774.16666666667,10.770270912720564,0.7138464471261384
