"","year","occ_code"
"390",2000,"41-0000"
"391",2000,"41-1011"
"392",2000,"41-1012"
"393",2000,"41-2011"
"394",2000,"41-2012"
"395",2000,"41-2021"
"396",2000,"41-2022"
"397",2000,"41-2031"
"398",2000,"41-3011"
"399",2000,"41-3021"
"400",2000,"41-3031"
"401",2000,"41-3041"
"402",2000,"41-4011"
"403",2000,"41-4012"
"404",2000,"41-9011"
"405",2000,"41-9012"
"406",2000,"41-9021"
"407",2000,"41-9022"
"408",2000,"41-9031"
"409",2000,"41-9041"
"410",2000,"41-9091"
"411",2000,"43-0000"
"412",2000,"43-1011"
"413",2000,"43-2011"
"414",2000,"43-2021"
"415",2000,"43-3011"
"416",2000,"43-3021"
"417",2000,"43-3031"
"418",2000,"43-3041"
"419",2000,"43-3051"
"420",2000,"43-3061"
"421",2000,"43-3071"
"422",2000,"43-4011"
"423",2000,"43-4021"
"424",2000,"43-4031"
"425",2000,"43-4041"
"426",2000,"43-4051"
"427",2000,"43-4061"
"428",2000,"43-4071"
"429",2000,"43-4081"
"430",2000,"43-4111"
"431",2000,"43-4121"
"432",2000,"43-4131"
"433",2000,"43-4141"
"434",2000,"43-4151"
"435",2000,"43-4161"
"436",2000,"43-4171"
"437",2000,"43-4181"
"438",2000,"43-5011"
"439",2000,"43-5021"
"440",2000,"43-5031"
"441",2000,"43-5032"
"442",2000,"43-5041"
"443",2000,"43-5051"
"444",2000,"43-5052"
"445",2000,"43-5053"
"446",2000,"43-5061"
"447",2000,"43-5071"
"448",2000,"43-5081"
"449",2000,"43-5111"
"450",2000,"43-6011"
"451",2000,"43-6012"
"452",2000,"43-6013"
"453",2000,"43-6014"
"454",2000,"43-9011"
"455",2000,"43-9021"
"456",2000,"43-9022"
"457",2000,"43-9031"
"458",2000,"43-9041"
"459",2000,"43-9051"
"460",2000,"43-9061"
"461",2000,"43-9071"
"462",2000,"43-9081"
"463",2000,"43-9111"
"464",2000,"45-0000"
"465",2000,"45-1011"
"466",2000,"45-1012"
"467",2000,"45-2011"
"468",2000,"45-2021"
"469",2000,"45-2041"
"470",2000,"45-2091"
"471",2000,"45-2092"
"472",2000,"45-2093"
"473",2000,"45-4011"
"474",2000,"45-4021"
"475",2000,"45-4022"
"476",2000,"45-4023"
"477",2000,"47-0000"
"478",2000,"47-1011"
"479",2000,"47-2011"
"480",2000,"47-2021"
"481",2000,"47-2022"
"482",2000,"47-2031"
"483",2000,"47-2041"
"484",2000,"47-2042"
"485",2000,"47-2043"
"486",2000,"47-2044"
"487",2000,"47-2051"
"488",2000,"47-2053"
"489",2000,"47-2061"
"490",2000,"47-2071"
"491",2000,"47-2072"
"492",2000,"47-2073"
"493",2000,"47-2081"
"494",2000,"47-2082"
"495",2000,"47-2111"
"496",2000,"47-2121"
"497",2000,"47-2130"
"498",2000,"47-2141"
"499",2000,"47-2142"
"500",2000,"47-2151"
"501",2000,"47-2152"
"502",2000,"47-2161"
"503",2000,"47-2171"
"504",2000,"47-2181"
"505",2000,"47-2211"
"506",2000,"47-2221"
"507",2000,"47-3011"
"508",2000,"47-3012"
"509",2000,"47-3013"
"510",2000,"47-3014"
"511",2000,"47-3015"
"512",2000,"47-3016"
"513",2000,"47-4011"
"514",2000,"47-4021"
"515",2000,"47-4031"
"516",2000,"47-4041"
"517",2000,"47-4051"
"518",2000,"47-4061"
"519",2000,"47-4071"
"520",2000,"47-4091"
"521",2000,"47-5011"
"522",2000,"47-5012"
"523",2000,"47-5013"
"524",2000,"47-5021"
"525",2000,"47-5031"
"526",2000,"47-5041"
"527",2000,"47-5042"
"528",2000,"47-5051"
"529",2000,"47-5061"
"530",2000,"47-5071"
"531",2000,"47-5081"
"532",2000,"49-0000"
"533",2000,"49-1011"
"534",2000,"49-2011"
"535",2000,"49-2021"
"536",2000,"49-2022"
"537",2000,"49-2091"
"538",2000,"49-2092"
"539",2000,"49-2093"
"540",2000,"49-2094"
"541",2000,"49-2095"
"542",2000,"49-2096"
"543",2000,"49-2097"
"544",2000,"49-2098"
"545",2000,"49-3011"
"546",2000,"49-3021"
"547",2000,"49-3022"
"548",2000,"49-3023"
"549",2000,"49-3031"
"550",2000,"49-3041"
"551",2000,"49-3042"
"552",2000,"49-3043"
"553",2000,"49-3051"
"554",2000,"49-3052"
"555",2000,"49-3053"
"556",2000,"49-3091"
"557",2000,"49-3092"
"558",2000,"49-3093"
"559",2000,"49-9011"
"560",2000,"49-9012"
"561",2000,"49-9021"
"562",2000,"49-9031"
"563",2000,"49-9041"
"564",2000,"49-9042"
"565",2000,"49-9043"
"566",2000,"49-9044"
"567",2000,"49-9045"
"568",2000,"49-9051"
"569",2000,"49-9052"
"570",2000,"49-9061"
"571",2000,"49-9062"
"572",2000,"49-9063"
"573",2000,"49-9064"
"574",2000,"49-9091"
"575",2000,"49-9092"
"576",2000,"49-9093"
"577",2000,"49-9094"
"578",2000,"49-9095"
"579",2000,"49-9096"
"580",2000,"49-9097"
"581",2000,"49-9098"
"582",2000,"51-0000"
"583",2000,"51-1011"
"584",2000,"51-2011"
"585",2000,"51-2021"
"586",2000,"51-2022"
"587",2000,"51-2023"
"588",2000,"51-2031"
"589",2000,"51-2041"
"590",2000,"51-2091"
"591",2000,"51-2092"
"592",2000,"51-2093"
"593",2000,"51-3011"
"594",2000,"51-3021"
"595",2000,"51-3022"
"596",2000,"51-3023"
"597",2000,"51-3091"
"598",2000,"51-3092"
"599",2000,"51-3093"
"600",2000,"51-4011"
"601",2000,"51-4012"
"602",2000,"51-4021"
"603",2000,"51-4022"
"604",2000,"51-4023"
"605",2000,"51-4031"
"606",2000,"51-4032"
"607",2000,"51-4033"
"608",2000,"51-4034"
"609",2000,"51-4035"
"610",2000,"51-4041"
"611",2000,"51-4051"
"612",2000,"51-4052"
"613",2000,"51-4061"
"614",2000,"51-4062"
"615",2000,"51-4071"
"616",2000,"51-4072"
"617",2000,"51-4081"
"618",2000,"51-4111"
"619",2000,"51-4121"
"620",2000,"51-4122"
"621",2000,"51-4191"
"622",2000,"51-4192"
"623",2000,"51-4193"
"624",2000,"51-4194"
"625",2000,"51-5011"
"626",2000,"51-5012"
"627",2000,"51-5021"
"628",2000,"51-5022"
"629",2000,"51-5023"
"630",2000,"51-6011"
"631",2000,"51-6021"
"632",2000,"51-6031"
"633",2000,"51-6041"
"634",2000,"51-6042"
"635",2000,"51-6051"
"636",2000,"51-6052"
"637",2000,"51-6061"
"638",2000,"51-6062"
"639",2000,"51-6063"
"640",2000,"51-6064"
"641",2000,"51-6091"
"642",2000,"51-6092"
"643",2000,"51-6093"
"644",2000,"51-7011"
"645",2000,"51-7021"
"646",2000,"51-7031"
"647",2000,"51-7032"
"648",2000,"51-7041"
"649",2000,"51-7042"
"650",2000,"51-8011"
"651",2000,"51-8012"
"652",2000,"51-8013"
"653",2000,"51-8021"
"654",2000,"51-8031"
"655",2000,"51-8091"
"656",2000,"51-8092"
"657",2000,"51-8093"
"658",2000,"51-9011"
"659",2000,"51-9012"
"660",2000,"51-9021"
"661",2000,"51-9022"
"662",2000,"51-9023"
"663",2000,"51-9031"
"664",2000,"51-9032"
"665",2000,"51-9041"
"666",2000,"51-9051"
"667",2000,"51-9061"
"668",2000,"51-9071"
"669",2000,"51-9081"
"670",2000,"51-9082"
"671",2000,"51-9083"
"672",2000,"51-9111"
"673",2000,"51-9121"
"674",2000,"51-9122"
"675",2000,"51-9123"
"676",2000,"51-9131"
"677",2000,"51-9132"
"678",2000,"51-9141"
"679",2000,"51-9191"
"680",2000,"51-9192"
"681",2000,"51-9193"
"682",2000,"51-9194"
"683",2000,"51-9195"
"684",2000,"51-9196"
"685",2000,"51-9197"
"686",2000,"51-9198"
"687",2000,"53-0000"
"688",2000,"53-1011"
"689",2000,"53-1021"
"690",2000,"53-1031"
"691",2000,"53-2011"
"692",2000,"53-2012"
"693",2000,"53-2021"
"694",2000,"53-2022"
"695",2000,"53-3011"
"696",2000,"53-3021"
"697",2000,"53-3022"
"698",2000,"53-3031"
