"","X","acs_occ_code","label","OCC2010_cps","major_cat","OCC2010_desc","OCC2010","SOC2010_orig","SOC_major_orig","SOC_minor_orig","SOC_broad_orig","SOC2010_adj","SOC_major_adj","SOC_minor_adj","SOC_broad_adj","ltuer_occ","uer_occ","ltuer_soc2010","uer_soc2010","ltuer_soc_major","uer_soc_major","ltuer_soc_minor","uer_soc_minor","ltuer_soc_broad","uer_soc_broad"
"44",44,800,"accountants and auditors",800,NA,"Accountants and auditors",800,"13-2011",13,"13-2000","13-2010","13-2011",13,"13-2000","13-2010",0.359565960091385,0.0278943525059822,0.359565960091385,0.0278943525059822,0.325250065906211,0.0336273051078002,0.33766284595121,0.0307520441863506,0.359565960091385,0.0278943525059822
"45",45,810,"appraisers and assessors of real estate",810,NA,"Appraisers and assessors of real estate",810,"13-2021",13,"13-2000","13-2020","13-2021",13,"13-2000","13-2020",0.285006935983855,0.0182091135530821,0.285006935983855,0.0182091135530821,0.325250065906211,0.0336273051078002,0.33766284595121,0.0307520441863506,0.285006935983855,0.0182091135530821
"46",46,820,"budget analysts",820,NA,"Budget analysts",820,"13-2031",13,"13-2000","13-2030","13-2031",13,"13-2000","13-2030",0.354763730077697,0.0257298764096517,0.354763730077697,0.0257298764096517,0.325250065906211,0.0336273051078002,0.33766284595121,0.0307520441863506,0.354763730077697,0.0257298764096517
"47",47,830,"credit analysts",830,NA,"Credit analysts",830,"13-2041",13,"13-2000","13-2040","13-2041",13,"13-2000","13-2040",0.399779998010462,0.0249503851654582,0.399779998010462,0.0249503851654582,0.325250065906211,0.0336273051078002,0.33766284595121,0.0307520441863506,0.399779998010462,0.0249503851654582
"48",48,840,"financial analysts",840,NA,"Financial analysts",840,"13-2051",13,"13-2000","13-2050","13-2051",13,"13-2000","13-2050",0.298342928850017,0.0211440062419595,0.298342928850017,0.0211440062419595,0.325250065906211,0.0336273051078002,0.33766284595121,0.0307520441863506,0.332629063092737,0.0198414092322883
"49",49,850,"personal financial advisors",850,NA,"Personal financial advisors",850,"13-2052",13,"13-2000","13-2050","13-2052",13,"13-2000","13-2050",0.339096678445742,0.0193973321815416,0.339096678445742,0.0193973321815416,0.325250065906211,0.0336273051078002,0.33766284595121,0.0307520441863506,0.332629063092737,0.0198414092322883
"50",50,860,"insurance underwriters",860,NA,"Insurance underwriters",860,"13-2053",13,"13-2000","13-2050","13-2053",13,"13-2000","13-2050",0.385462960668927,0.0189709067971728,0.385462960668927,0.0189709067971728,0.325250065906211,0.0336273051078002,0.33766284595121,0.0307520441863506,0.332629063092737,0.0198414092322883
"51",51,900,"financial examiners",900,NA,"Financial examiners",900,"13-2061",13,"13-2000","13-2060","13-2061",13,"13-2000","13-2060",0.257665295302324,0.0225952818114146,0.257665295302324,0.0225952818114146,0.325250065906211,0.0336273051078002,0.33766284595121,0.0307520441863506,0.257665295302324,0.0225952818114146
"52",52,910,"credit counselors and loan officers",910,NA,"Credit counselors and loan officers",910,"13-2070",13,"13-2000","13-2070","13-2070",13,"13-2000","13-2070",0.3571787662592,0.0438504707058231,0.3571787662592,0.0438504707058231,0.325250065906211,0.0336273051078002,0.33766284595121,0.0307520441863506,0.3571787662592,0.0438504707058231
"53",53,930,"tax examiners and collectors, and revenue agents",930,NA,"Tax examiners and collectors, and revenue agents",930,"13-2081",13,"13-2000","13-2080","13-2081",13,"13-2000","13-2080",0.268855652584052,0.0279999763676072,0.268855652584052,0.0279999763676072,0.325250065906211,0.0336273051078002,0.33766284595121,0.0307520441863506,0.235874766164588,0.083240395986964
"54",54,940,"tax preparers",940,NA,"Tax preparers",940,"13-2082",13,"13-2000","13-2080","13-2082",13,"13-2000","13-2080",0.231279698567365,0.114793910124678,0.231279698567365,0.114793910124678,0.325250065906211,0.0336273051078002,0.33766284595121,0.0307520441863506,0.235874766164588,0.083240395986964
"55",55,950,"financial specialists, all other",950,NA,"Financial specialists, all other",950,"13-2099",13,"13-2000","13-2090","13-2099",13,"13-2000","13-2090",0.420799706590677,0.041426848837403,0.420799706590677,0.041426848837403,0.325250065906211,0.0336273051078002,0.33766284595121,0.0307520441863506,0.420799706590677,0.041426848837403
"56",56,1005,"computer and information research scientists",1000,NA,"Computer and information research scientists",1005,"15-1111",15,"15-1000","15-1110","15-1111",15,"15-1000","15-1110",0.339036282753007,0.0295839833479865,0.339036282753007,0.0295839833479865,0.343720663937484,0.0291077621622363,0.344381470595051,0.0296301552530478,0.339036282753007,0.0295839833479865
"57",57,1006,"computer systems analysts",1000,NA,"Computer systems analysts",1006,"15-1121",15,"15-1000","15-1120","15-1111",15,"15-1000","15-1110",0.339036282753007,0.0295839833479865,0.339036282753007,0.0295839833479865,0.343720663937484,0.0291077621622363,0.344381470595051,0.0296301552530478,0.339036282753007,0.0295839833479865
"58",58,1007,"information security analysts",1000,NA,"Information security analysts",1007,"15-1122",15,"15-1000","15-1120","15-1111",15,"15-1000","15-1110",0.339036282753007,0.0295839833479865,0.339036282753007,0.0295839833479865,0.343720663937484,0.0291077621622363,0.344381470595051,0.0296301552530478,0.339036282753007,0.0295839833479865
