DATE,GDPC1,REALGDP,FD_REALGDP,log_REALGDP,log_Trend,log_Cycle,Trend,Cycle,scaled_log_Cycle
2000-07-01,14145.312,14145.312,14.404000000000451,13.78803637783813,14.737398996131772,1.050637381706359,924861.2415729736,1.0519413709289553,0.9523698549838869
2000-10-01,14229.765,14229.765,84.45299999999952,13.796624215965208,14.747718969721433,1.0489052462437751,934455.2047355822,1.050120843131366,0.9431518385884672
2001-01-01,14183.12,14183.12,-46.64499999999862,13.791887310815438,14.757937158305333,1.033950152510105,944052.5947048401,1.0345330365677206,0.8635643570029526
2001-04-01,14271.694,14271.694,88.5739999999987,13.800868967365988,14.768052074905727,1.0328168924602608,953650.064944668,1.0333613056704443,0.857533414305114
2001-07-01,14214.516,14214.516,-57.177999999999884,13.795077356068408,14.77806249450593,1.017014861562478,963244.4440069052,1.0171604388063245,0.7734387328883376
2001-10-01,14253.574,14253.574,39.0580000000009,13.799036091499085,14.787967445306009,1.0110686461930758,972832.740243859,1.011130130296549,0.7417943771495086
2002-01-01,14372.785,14372.785,119.21099999999933,13.81105201798986,14.797766086793555,1.0132859311963056,982412.0348848894,1.0133745813450519,0.7535942449742811
2002-04-01,14460.848,14460.848,88.0630000000001,13.819864535539937,14.807457663862365,1.0124068716775714,991979.4435875826,1.0124841561989666,0.7489160975480086
2002-07-01,14519.633,14519.633,58.784999999999854,13.8257173676096,14.817041523921132,1.0086758436884686,1001532.1384835282,1.0087135878956397,0.7290604465794553
2002-10-01,14537.58,14537.58,17.947000000000116,13.827499510390554,14.826517110110562,1.0009824002799927,1011067.3470841813,1.0009828829932075,0.6881177553128186
2003-01-01,14614.141,14614.141,76.5609999999997,13.835077411467216,14.835883932514596,0.9991934789526198,1020582.3283645748,0.9991938041033002,0.6785975379383409
2003-04-01,14743.567,14743.567,129.42599999999948,13.847797986115944,14.845141508797436,1.0026564773185083,1030074.3157302216,1.0026600088808595,0.6970267984688383
2003-07-01,14988.782,14988.782,245.21500000000015,13.871595533085143,14.854289350400126,1.017306182685017,1039540.5039917546,1.0174568022935357,0.7749890751923345
2003-10-01,15162.76,15162.76,173.97800000000097,13.88824476339447,14.86332698926122,1.0249177741332502,1048978.0781041055,1.0252308165659827,0.8154961696319264
2004-01-01,15248.68,15248.68,85.92000000000007,13.896396740921576,14.872254090854629,1.0241426500669473,1058384.3348134654,1.0244364433952007,0.8113711421695785
2004-04-01,15366.85,15366.85,118.17000000000007,13.907533841577031,14.881070512921042,1.0264633286559892,1067756.7527044057,1.0268165918267738,0.8237212462719314
2004-07-01,15512.619,15512.619,145.76900000000023,13.921154657112261,14.889776299487021,1.0313783576252398,1077092.9958010565,1.0318758481324468,0.8498778712017906
2004-10-01,15670.88,15670.88,158.2609999999986,13.935798576334342,14.898371698771484,1.037426877562858,1086390.9427045677,1.0381360832658637,0.8820666677234063
2005-01-01,15844.727,15844.727,173.84700000000157,13.951715182271228,14.90685720111031,1.0448579811609182,1095648.7385643746,1.0458793147947574,0.9216132483937189
2005-04-01,15922.782,15922.782,78.05499999999847,13.958804802551663,14.91523358562701,1.0435712169246525,1104864.8586903408,1.0445343801894789,0.9147653926207973
