"","year","month","value","value_smooth"
"62",2005,2,32.2555794660772,33.402235404824
"63",2005,3,32.4539169762237,33.2531719470281
"64",2005,4,33.7688575940624,33.1057602263842
"65",2005,5,34.374698009211,32.9697329752244
"66",2005,6,33.2465513534633,32.8548229258805
"67",2005,7,31.8758650297183,32.7784687089474
"68",2005,8,32.0363569379047,32.7393221149929
"69",2005,9,32.7946812824831,32.7189356163085
"70",2005,10,33.9668252220905,32.6988616851856
"71",2005,11,33.6832491165317,32.6606527939158
"72",2005,12,32.1263513016993,32.6188229266084
"73",2006,1,30.717248913954,32.588148960277
"74",2006,2,31.6358473735821,32.5505777065699
"75",2006,3,32.6667909553784,32.488055977135
"76",2006,4,33.2654522378681,32.3867716637612
"77",2006,5,34.2199886944634,32.2572777856912
"78",2006,6,32.1172947738058,32.118068845754
"79",2006,7,30.5591823206358,31.9876393467785
"80",2006,8,31.6034132170484,31.8844837915935
"81",2006,9,33.0449353490647,31.7874754526143
"82",2006,10,33.0501271251928,31.6756732268999
"83",2006,11,31.0708315248563,31.5678500542449
"84",2006,12,30.3840684451914,31.4827788744437
"85",2007,1,30.6242410700783,31.4392326272909
"86",2007,2,29.9554720084049,31.4585308089715
"87",2007,3,31.6000758141857,31.5298763668354
"88",2007,4,31.6090084681385,31.623867417424
"89",2007,5,33.0649636785202,31.7111020772787
"90",2007,6,32.8446345402341,31.7621784629409
"91",2007,7,31.2160061466384,31.7682640158947
"92",2007,8,31.5942505877548,31.7585159593445
"93",2007,9,32.1621201369608,31.7605170824122
"94",2007,10,33.0496068548073,31.8018501742198
"95",2007,11,32.9306720653168,31.8511918683035
"96",2007,12,31.2490202813787,31.877859710368
"97",2008,1,30.030871440409,31.9103978577887
"98",2008,2,30.8527702608192,31.9773504679404
"99",2008,3,30.8864767180548,32.1072616981982
"100",2008,4,32.0612768581752,32.3228159356665
"101",2008,5,34.0723098903292,32.6074817142966
"102",2008,6,33.5647934711547,32.9309794117344
"103",2008,7,33.5312655166502,33.2630294056257
"104",2008,8,33.1618475200364,33.5733520736165
"105",2008,9,33.5701301426946,33.8963001737645
"106",2008,10,35.7579828284958,34.2636650745666
"107",2008,11,35.1375289722905,34.6413250693265
"108",2008,12,34.4431057503403,34.9951584513483
"109",2009,1,34.0599459802171,35.2910435139359
"110",2009,2,35.1818355060657,35.5652728295926
"111",2009,3,35.1818685140949,35.849868705616
"112",2009,4,36.3765407683436,36.1043040375008
"113",2009,5,37.5145793364346,36.2880517207419
"114",2009,6,37.1394582295007,36.3910235705549
"115",2009,7,35.7043480675182,36.4407660594126
"116",2009,8,36.3038574400695,36.4532040686963
"117",2009,9,37.2008750647825,36.4442624797873
"118",2009,10,37.3906278983919,36.4298661740668
"119",2009,11,36.8176260991886,36.3670898027541
"120",2009,12,36.1534363973451,36.2324863404615
"121",2010,1,35.2861392435742,36.07119815366
"122",2010,2,34.7632750531493,35.9283676088207
"123",2010,3,35.2729739091804,35.8491370724146
"124",2010,4,36.0803293861212,35.8404831713854
"125",2010,5,35.0851386935834,35.8657469436645
"126",2010,6,36.0660910402618,35.9046173722042
"127",2010,7,36.1789331477048,35.936783439957
"128",2010,8,35.3558833685927,35.9419341298752
"129",2010,9,36.2682244149173,35.938538097195
"130",2010,10,37.6567093508721,35.9484716019134
"131",2010,11,37.2738521902949,35.9565350341242
"132",2010,12,36.2404214176029,35.947528783921
"133",2011,1,34.7138708853386,35.9128275250887
"134",2011,2,34.6500786353865,35.857462678928
"135",2011,3,35.1706928416375,35.7867197568073
"136",2011,4,35.3835562225919,35.705884270095
"137",2011,5,36.2537209422716,35.6202417301593
"138",2011,6,35.2074788747399,35.5152342772403
"139",2011,7,35.642261441466,35.3892335721884
"140",2011,8,35.7625594782461,35.2669194072878
"141",2011,9,35.4216891386259,35.1729715748226
"142",2011,10,36.1017790086825,35.0966179951635
"143",2011,11,36.1965209412748,35.0168254892241
"144",2011,12,34.064550334787,34.9428822001029
