"","label","id","Interval","classification","acs_occ_code","median_edu","median_earnings","total_employment_2010","log_median_earnings","log_total_employment_2010","auto_prob_average","women_pct"
"84","miscellaneous engineers, including nuclear engineers",83,NA,"Architecture and engineering",1530,9.735707,75302.67,5055,11.22927087,8.528133131,0.042,0.154
"85","drafters",84,NA,"Architecture and engineering",1540,7.863737,37027.38,2253,10.51941292,7.72001794,0.67,0.205
"86","engineering technicians, except drafters",85,NA,"Architecture and engineering",1550,7.297158,42996.23,5031,10.66886772,8.52337405,0.42,0.1445
"87","surveying and mapping technicians",86,NA,"Architecture and engineering",1560,6.917943,33039.29,914,10.40545274,6.817830571,0.96,0.12
"88","agricultural and food scientists",87,NA,"Life, physical and social science",1600,9.696202,45684.3,395,10.72950997,5.978885765,0.053,0.55
"89","biological scientists",88,NA,"Life, physical and social science",1610,10.359375,50163.88,960,10.82305052,6.866933284,0.0885,0.55
"90","conservation scientists and foresters",89,NA,"Life, physical and social science",1640,9.762162,44812.59,370,10.71024441,5.913503006,0.01205,0.55
"91","medical scientists, and life scientists, all other",90,NA,"Life, physical and social science",1650,10.856101,73924.4,1508,11.21079823,7.318539549,0.10225,0.518
"92","astronomers and physicists",91,NA,"Life, physical and social science",1700,10.575,77462.5,160,11.25754923,5.075173815,0.0705,0.36
"93","atmospheric and space scientists",92,NA,"Life, physical and social science",1710,9.764706,68478.43,102,11.13427408,4.624972813,0.67,0.36
"94","chemists and materials scientists",93,NA,"Life, physical and social science",1720,10.237145,65264.32,953,11.08620076,6.859614904,0.0605,0.36
"95","environmental scientists and geoscientists",94,NA,"Life, physical and social science",1740,10.35443,71877.79,869,11.18272259,6.767343125,0.225666667,0.431
"96","physical scientists, all other",95,NA,"Life, physical and social science",1760,10.659477,66956.46,2179,11.11179784,7.686621335,0.43,0.431
"97","economists",96,NA,"Life, physical and social science",1800,10.689321,100266.93,309,11.51559121,5.733341277,0.43,0.498
"98","miscellaneous social scientists, including survey researchers and sociologists",97,NA,"Life, physical and social science",1860,10.086384,44662.24,683,10.70688368,6.52649486,0.152242857,0.539
"99","psychologists",98,NA,"Life, physical and social science",1820,10.910127,42038.39,2281,10.64633853,7.732369222,0.007,0.8315
"100","urban and regional planners",99,NA,"Life, physical and social science",1840,10.328,61278.8,250,11.02318922,5.521460918,0.13,0.539
"101","agricultural and food science technicians",100,NA,"Life, physical and social science",1900,7.2265625,31023.2,384,10.34249059,5.950642553,0.97,0.55
"102","biological technicians",101,NA,"Life, physical and social science",1910,8.455173,35797.38,290,10.48562999,5.669880923,0.3,0.35
"103","chemical technicians",102,NA,"Life, physical and social science",1920,7.689531,42492.92,831,10.65709275,6.722629795,0.57,0.35
"104","geological and petroleum technicians, and nuclear technicians",103,NA,"Life, physical and social science",1930,7.4763947,54204.72,233,10.90052327,5.451038454,0.88,0.431
"105","miscellaneous life, physical, and social science technicians, including social science research assistants",104,NA,"Life, physical and social science",1965,7.970417,25717.75,2231,10.15493669,7.710205194,0.4919,0.3825
"106","counselors",105,NA,"Community and social service",2000,9.643834,31666.52,8336,10.36301525,9.028338764,0.01394,0.7605
"107","social workers",106,NA,"Community and social service",2010,9.566706,35263.19,9317,10.47059492,9.139595967,0.011533333,0.834
"108","miscellaneous community and social service specialists, including health educators and community health workers",107,NA,"Community and social service",2025,8.598006,33835.99,1204,10.42928031,7.093404626,0.045,0.71
"109","probation officers and correctional treatment specialists",108,NA,"Community and social service",2015,9.391098,44139.06,1056,10.69510038,6.962243464,0.25,0.574
"110","social and human service assistants",109,NA,"Community and social service",2016,7.997764,27148.17,1789,10.20906492,7.489412084,0.13,0.753
"111","clergy",110,NA,"Community and social service",2040,9.695538,34854.07,5669,10.4589252,8.642768014,0.0081,0.214
"112","directors, religious activities and education",111,NA,"Community and social service",2050,8.9844475,26586.94,643,10.1881754,6.466144724,0.025,0.673
"113","lawyers, and judges, magistrates, and other judicial workers",112,NA,"Legal",2100,10.898983,107548.76,12394,11.58569961,9.424967764,0.28375,0.43
"114","judicial law clerks",113,NA,"Legal",2105,10.5,41127.54,248,10.62443325,5.513428746,0.41,0.43
"115","paralegals and legal assistants",114,NA,"Legal",2145,8.394971,37240.31,4494,10.52514706,8.410498453,0.94,0.83
"116","miscellaneous legal support workers",115,NA,"Legal",2160,8.147727,36862.03,2728,10.5149373,7.911324019,0.745,0.608
"117","postsecondary teachers",116,NA,"Education, training and library",2200,10.523713,47086.26,17311,10.75973652,9.759097417,0,0.466
"118","preschool and kindergarten teachers",117,NA,"Education, training and library",2300,8.270549,18006.99,7093,9.798515295,8.866863661,0.0787,0.967
"119","elementary and middle school teachers",118,NA,"Education, training and library",2310,10.303988,38116.46,46959,10.54840149,10.75703016,0.1448,0.786
"120","secondary school teachers",119,NA,"Education, training and library",2320,10.321009,41267.99,10386,10.62784242,9.248214024,0.0083,0.569
