"","acs_occ_code","OCC2010_cps","acs_occ_code_label","major_cat","OCC2010_desc","OCC2010","SOC2010","SOC_major","SOC_minor","SOC_broad"
"19",310,310,"Food Service and Lodging Managers",NA,"Food service managers",310,"11-9051","11","11-9000","11-9050"
"20",325,320,"325",NA,"Funeral service managers",325,"11-9061","11","11-9000","11-9060"
"21",330,330,"Gaming Managers",NA,"Gaming managers",330,"11-9071","11","11-9000","11-9070"
"22",340,330,"340",NA,"Lodging managers",340,"11-9081","11","11-9000","11-9080"
"23",350,350,"Medical and Health Services Managers",NA,"Medical and health services managers",350,"11-9111","11","11-9000","11-9110"
"24",360,360,"Natural Science Managers",NA,"Natural sciences managers",360,"11-9121","11","11-9000","11-9120"
"25",410,410,"Property, Real Estate, and Community Association Managers",NA,"Property, real estate, and community association managers",410,"11-9141","11","11-9000","11-9140"
"26",420,420,"Social and Community Service Managers",NA,"Social and community service managers",420,"11-9151","11","11-9000","11-9150"
"27",425,420,"425",NA,"Emergency management directors",425,"11-9161","11","11-9000","11-9160"
"28",430,430,"Managers, nec (including Postmasters)",NA,"Managers, all other",430,"11-9199","11","11-9000","11-9190"
"29",500,500,"Agents and Business Managers of Artists, Performers, and Athletes",NA,"Agents and business managers of artists, performers, and athletes",500,"13-1011","13","13-1000","13-1010"
"30",510,510,"Buyers and Purchasing Agents, Farm Products",NA,"Buyers and purchasing agents, farm products",510,"13-1021","13","13-1000","13-1020"
"31",520,520,"Wholesale and Retail Buyers, Except Farm Products",NA,"Wholesale and retail buyers, except farm products",520,"13-1022","13","13-1000","13-1020"
"32",530,530,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",NA,"Purchasing agents, except wholesale, retail, and farm products",530,"13-1023","13","13-1000","13-1020"
"33",540,540,"Claims Adjusters, Appraisers, Examiners, and Investigators",NA,"Claims adjusters, appraisers, examiners, and investigators",540,"13-1030","13","13-1000","13-1030"
"34",565,560,"565",NA,"Compliance officers",565,"13-1041","13","13-1000","13-1040"
"35",600,600,"Cost Estimators",NA,"Cost estimators",600,"13-1051","13","13-1000","13-1050"
"36",630,620,"630",NA,"Human resources workers",630,"13-1070","13","13-1000","13-1070"
"37",640,620,"640",NA,"Compensation, benefits, and job analysis specialists",640,"13-1141","13","13-1000","13-1140"
"38",650,620,"650",NA,"Training and development specialists",650,"13-1151","13","13-1000","13-1150"
"39",700,700,"Logisticians",NA,"Logisticians",700,"13-1081","13","13-1000","13-1080"
"40",710,710,"Management Analysts",NA,"Management analysts",710,"13-1111","13","13-1000","13-1110"
"41",725,720,"725",NA,"Meeting, convention, and event planners",725,"13-1121","13","13-1000","13-1120"
"42",726,720,"726",NA,"Fundraisers",726,"13-1131","13","13-1000","13-1130"
"43",735,730,"735",NA,"Market research analysts and marketing specialists",735,"13-1161","13","13-1000","13-1160"
"44",740,730,"740",NA,"Business operations specialists, all other",740,"13-1199","13","13-1000","13-1190"
"45",800,800,"Accountants and Auditors",NA,"Accountants and auditors",800,"13-2011","13","13-2000","13-2010"
"46",810,810,"Appraisers and Assessors of Real Estate",NA,"Appraisers and assessors of real estate",810,"13-2021","13","13-2000","13-2020"
"47",820,820,"Budget Analysts",NA,"Budget analysts",820,"13-2031","13","13-2000","13-2030"
"48",830,830,"Credit Analysts",NA,"Credit analysts",830,"13-2041","13","13-2000","13-2040"
"49",840,840,"Financial Analysts",NA,"Financial analysts",840,"13-2051","13","13-2000","13-2050"
"50",850,850,"Personal Financial Advisors",NA,"Personal financial advisors",850,"13-2052","13","13-2000","13-2050"
"51",860,860,"Insurance Underwriters",NA,"Insurance underwriters",860,"13-2053","13","13-2000","13-2050"
"52",900,900,"Financial Examiners",NA,"Financial examiners",900,"13-2061","13","13-2000","13-2060"
"53",910,910,"Credit Counselors and Loan Officers",NA,"Credit counselors and loan officers",910,"13-2070","13","13-2000","13-2070"
"54",930,930,"Tax Examiners and Collectors, and Revenue Agents",NA,"Tax examiners and collectors, and revenue agents",930,"13-2081","13","13-2000","13-2080"
"55",940,940,"Tax Preparers",NA,"Tax preparers",940,"13-2082","13","13-2000","13-2080"
"56",950,950,"Financial Specialists, nec",NA,"Financial specialists, all other",950,"13-2099","13","13-2000","13-2090"
"57",1005,1000,"1005",NA,"Computer and information research scientists",1005,"15-1111","15","15-1000","15-1110"
"58",1006,1000,"1006",NA,"Computer systems analysts",1006,"15-1121","15","15-1000","15-1120"
"59",1007,1000,"1007",NA,"Information security analysts",1007,"15-1122","15","15-1000","15-1120"
"60",1010,1010,"Computer Programmers",NA,"Computer programmers",1010,"15-1131","15","15-1000","15-1130"
"61",1020,1020,"Software Developers, Applications and Systems Software",NA,"Software developers, applications and systems software",1020,"15-113X","15","15-1000","15-1130"
"62",1030,1020,"1030",NA,"Web developers",1030,"15-1134","15","15-1000","15-1130"
"63",1050,1050,"Computer Support Specialists",NA,"Computer support specialists",1050,"15-1150","15","15-1000","15-1150"
"64",1060,1060,"Database Administrators",NA,"Database administrators",1060,"15-1141","15","15-1000","15-1140"
"65",1105,1100,"1105",NA,"Network and computer systems administrators",1105,"15-1142","15","15-1000","15-1140"
"66",1106,1100,"1106",NA,"Computer network architects",1106,"15-1143","15","15-1000","15-1140"
"67",1107,1100,"1107",NA,"Computer occupations, all other",1107,"15-1199","15","15-1000","15-1190"
"68",1200,1200,"Actuaries",NA,"Actuaries",1200,"15-2011","15","15-2000","15-2010"
"69",1210,1200,"1210",NA,"Mathematicians",1210,"15-2021","15","15-2000","15-2020"
"70",1220,1220,"Operations Research Analysts",NA,"Operations research analysts",1220,"15-2031","15","15-2000","15-2030"
"71",1230,1230,"Statisticians",NA,"Statisticians",1230,"15-2041","15","15-2000","15-2040"
"72",1240,1240,"Mathematical science occupations, nec",NA,"Miscellaneous mathematical science occupations",1240,"15-2090","15","15-2000","15-2090"
"73",1300,1300,"Architects, Except Naval",NA,"Architects, except naval",1300,"17-1010","17","17-1000","17-1010"
"74",1310,1310,"Surveyors, Cartographers, and Photogrammetrists",NA,"Surveyors, cartographers, and photogrammetrists",1310,"17-1020","17","17-1000","17-1020"
"75",1320,1320,"Aerospace Engineers",NA,"Aerospace engineers",1320,"17-2011","17","17-2000","17-2010"
"76",1330,1320,"1330",NA,"Agricultural engineers",1330,"17-2021","17","17-2000","17-2020"
"77",1340,1320,"1340",NA,"Biomedical engineers",1340,"17-2031","17","17-2000","17-2030"
"78",1350,1350,"Chemical Engineers",NA,"Chemical engineers",1350,"17-2041","17","17-2000","17-2040"
"79",1360,1360,"Civil Engineers",NA,"Civil engineers",1360,"17-2051","17","17-2000","17-2050"
"80",1400,1400,"Computer Hardware Engineers",NA,"Computer hardware engineers",1400,"17-2061","17","17-2000","17-2060"
"81",1410,1410,"Electrical and Electronics Engineers",NA,"Electrical and electronics engineers",1410,"17-2070","17","17-2000","17-2070"
"82",1420,1420,"Environmental Engineers",NA,"Environmental engineers",1420,"17-2081","17","17-2000","17-2080"
"83",1430,1430,"Industrial Engineers, including Health and Safety",NA,"Industrial engineers, including health and safety",1430,"17-2110","17","17-2000","17-2110"
"84",1440,1440,"Marine Engineers and Naval Architects",NA,"Marine engineers and naval architects",1440,"17-2121","17","17-2000","17-2120"
"85",1450,1450,"Materials Engineers",NA,"Materials engineers",1450,"17-2131","17","17-2000","17-2130"
"86",1460,1460,"Mechanical Engineers",NA,"Mechanical engineers",1460,"17-2141","17","17-2000","17-2140"
"87",1500,1460,"1500",NA,"Mining and geological engineers, including mining safety engineers",1500,"17-2151","17","17-2000","17-2150"
"88",1510,1460,"1510",NA,"Nuclear engineers",1510,"17-2161","17","17-2000","17-2160"
"89",1520,1520,"Petroleum, mining and geological engineers, including mining safety engineers",NA,"Petroleum engineers",1520,"17-2171","17","17-2000","17-2170"
"90",1530,1530,"Engineers, nec",NA,"Engineers, all other",1530,"17-2199","17","17-2000","17-2190"
"91",1540,1540,"Drafters",NA,"Drafters",1540,"17-3010","17","17-3000","17-3010"
"92",1550,1550,"Engineering Technicians, Except Drafters",NA,"Engineering technicians, except drafters",1550,"17-3020","17","17-3000","17-3020"
"93",1560,1560,"Surveying and Mapping Technicians",NA,"Surveying and mapping technicians",1560,"17-3031","17","17-3000","17-3030"
"94",1600,1600,"Agricultural and Food Scientists",NA,"Agricultural and food scientists",1600,"19-1010","19","19-1000","19-1010"
"95",1610,1610,"Biological Scientists",NA,"Biological scientists",1610,"19-1020","19","19-1000","19-1020"
"96",1640,1640,"Conservation Scientists and Foresters",NA,"Conservation scientists and foresters",1640,"19-1030","19","19-1000","19-1030"
"97",1650,1650,"Medical Scientists, and Life Scientists, All Other",NA,"Medical scientists",1650,"19-1040","19","19-1000","19-1040"
