d_u,gamma_u,distance,otj,cyc_otj,cyc_ue,disc,timestamp,model_cat,error
0.292375,1.0,682.106152956837,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.334,0.001,133.88507076704414,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.334,0.042625,395.65972540420177,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.334,0.08425,481.55065307803767,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.334,0.12587500000000001,614.3261234106219,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.334,0.1675,475.19736397750853,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.334,0.209125,548.3902990086622,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.334,0.25075000000000003,592.8584201335706,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.334,0.292375,723.7744613328656,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.334,0.334,695.8950252751836,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.334,0.37562500000000004,646.7070964000701,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.334,0.41725,762.141988300441,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.334,0.45887500000000003,452.12788578658876,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.334,0.5005000000000001,477.5516034361473,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.334,0.5421250000000001,711.5371924758493,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.334,0.58375,681.7631751152175,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.334,0.625375,697.2086025156046,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.334,0.667,777.3918923730118,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.334,0.7086250000000001,571.8371284499623,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.334,0.7502500000000001,686.6779801289593,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.334,0.791875,652.9653636652627,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.334,0.8335,787.5744365928344,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.334,0.875125,1039.1947545922926,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.334,0.9167500000000001,678.7989401240375,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.334,0.9583750000000001,727.6181837877272,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.334,1.0,736.9655801688634,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.37562500000000004,0.001,243.50002703804932,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.37562500000000004,0.042625,454.8800333979315,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.37562500000000004,0.08425,566.8951752278336,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.37562500000000004,0.12587500000000001,788.5844641531601,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.37562500000000004,0.1675,541.2927323976932,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.37562500000000004,0.209125,790.258236015116,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
